#Distances    VirialMass
55.5373899402  75056700000.0
48.0944128058  779913000000.0
46.5161059915  74333600000.0
50.2320039264  74981100000.0
45.3591865497  73334000000.0
52.0741107662  72353300000.0
53.6448290865  70921200000.0
46.3828091385  70765200000.0
52.4880667612  70391800000.0
53.6362130423  70233500000.0
53.0989835271  69881400000.0
52.0320748382  307579000000.0
47.0207368778  68716300000.0
46.6922275457  68054600000.0
46.8928157585  67631600000.0
48.8136735344  66393300000.0
50.1368331598  63808000000.0
47.495903744  63054200000.0
44.6946928871  1.2732e+12
56.0994064615  61952900000.0
55.8528241345  61704800000.0
51.9355751095  60691000000.0
54.057928119  60180600000.0
55.0237888637  60029300000.0
53.6176765684  59946600000.0
50.3740197884  59755200000.0
49.7289982324  59705600000.0
56.0543619593  58169500000.0
52.8877512696  57997000000.0
50.8500842358  328490000000.0
53.3923925836  57354200000.0
49.2794613388  56635800000.0
53.7140843452  53691300000.0
49.7455446102  51838600000.0
57.7414860283  66816300000.0
45.4662490164  51505400000.0
52.5732053068  51316300000.0
47.8247342339  60549200000.0
45.0096717568  50078000000.0
52.0388154776  49730600000.0
46.929127878  49711700000.0
56.2836174227  99501400000.0
49.4817666725  48837300000.0
46.5227898752  48641200000.0
50.1530933769  48085800000.0
45.0734914262  47298900000.0
46.2603544726  47242200000.0
54.1410469513  73014900000.0
52.8864230849  46188200000.0
46.802910049  45370600000.0
54.4122535687  45268900000.0
52.5782117559  45257100000.0
53.4319530662  2.29877e+13
45.7369096452  441894000000.0
54.5839701737  43843900000.0
51.1428944965  43832100000.0
49.6589929163  43491800000.0
54.6946580281  43239000000.0
49.7845910201  42291300000.0
50.012156256  42017200000.0
50.9485722805  41927400000.0
49.2864946762  41802200000.0
46.8541686842  41705300000.0
52.0187438129  41617800000.0
46.0587613665  41497300000.0
44.8827363999  193194000000.0
52.7074341148  111360000000.0
49.9097099608  40396100000.0
48.8241170046  40133800000.0
49.1742570473  40081800000.0
53.0718230487  39899800000.0
46.4999031534  39495700000.0
47.2037198448  39361000000.0
54.0703149819  39153000000.0
47.5340781598  39082200000.0
54.6465864983  45630500000.0
47.9799638966  38697000000.0
50.1021119307  38217200000.0
47.5703351487  37938400000.0
57.8291997007  62487000000.0
47.3208885142  37543700000.0
46.0915321015  37286100000.0
55.8567691517  37269600000.0
46.2519260686  37175100000.0
47.4384137382  37052200000.0
44.6090993118  63765500000.0
47.2360528199  37886400000.0
45.8296744314  36700100000.0
47.6847779293  36650400000.0
54.4814649102  36352700000.0
45.4874084925  36693000000.0
56.0090436524  36092700000.0
49.0010806172  35877700000.0
44.5486397193  47100400000.0
54.1204276604  35707500000.0
49.2658572154  35627200000.0
53.8377632537  1.79677e+13
52.6388198446  34882800000.0
46.5076343541  34303800000.0
54.935159493  34081700000.0
46.8697074056  33963500000.0
47.2834495974  70226400000.0
51.8487522305  33746100000.0
49.8331746679  33639800000.0
53.6686855333  33557100000.0
51.0023593854  33547600000.0
48.5128846868  33412900000.0
51.1607835775  33396400000.0
54.5700656139  33394000000.0
46.9839953516  33256900000.0
54.9588780347  32909500000.0
48.5093504867  1.67105e+13
50.1190254129  34551900000.0
49.5612146666  218998000000.0
51.8073210343  32188800000.0
46.9572819971  32141500000.0
47.0883247985  32134400000.0
49.781780967  32120200000.0
49.4616224624  32942600000.0
44.8091520305  55697600000.0
61.9668923505  1.61007e+13
52.3223375046  31340400000.0
45.9682644952  31071000000.0
46.6678440542  30799200000.0
49.3306883026  30494400000.0
48.1948774302  30444800000.0
54.1546527784  30291100000.0
54.6753513836  30012300000.0
46.7832815472  29828000000.0
49.8920287292  29806700000.0
50.3868570183  29735800000.0
55.949545619  1.51388e+13
49.699866474  29405000000.0
49.2088635293  37331000000.0
52.6227772191  86038400000.0
48.6766485311  28849600000.0
46.9696598111  28795300000.0
49.8869057019  28133600000.0
46.1225236643  27977600000.0
45.5798764398  95443800000.0
49.9344078624  27776700000.0
46.7298093929  27684600000.0
47.1995297058  27540400000.0
47.3738667051  27334800000.0
47.2388731158  27202500000.0
49.8612243187  27103200000.0
57.3270566039  1.37752e+13
56.3438598579  117138000000.0
52.713471134  26857500000.0
54.0524335727  27599500000.0
45.8143906839  26103600000.0
48.5396411819  25990200000.0
44.7939867414  25697100000.0
47.1024674094  25652200000.0
48.0624743009  25210300000.0
55.3540569746  26091800000.0
54.532752356  24896000000.0
52.8525029142  24881800000.0
54.7229260826  24862900000.0
52.7296265085  24844000000.0
46.7398894184  33977700000.0
47.7294820631  24525000000.0
50.6472269448  24262700000.0
46.1868009703  24255600000.0
52.9359030496  24161100000.0
47.8516753882  24111500000.0
47.4825826331  23993300000.0
50.5548539094  23806600000.0
49.313028593  23721500000.0
45.3711345953  23575000000.0
54.8355951541  23367100000.0
51.3747674645  23166200000.0
55.6522250235  23140200000.0
46.7000317311  23052800000.0
52.169137109  23012600000.0
52.4199515737  22844800000.0
47.3454931618  22792800000.0
46.6536522753  22769200000.0
47.1701972748  22625000000.0
50.2446242254  22599000000.0
57.4925151925  38574100000.0
56.3049430656  22478500000.0
48.5484737636  22369800000.0
47.0398251594  22320200000.0
47.6796616865  22284700000.0
48.8098772324  22157100000.0
54.9626222301  297769000000.0
44.8807475038  22986600000.0
48.2000882336  21890100000.0
47.1726742908  21793200000.0
54.5047177112  21639600000.0
46.7211855285  21592300000.0
52.0090518388  21521400000.0
53.1957473811  21292200000.0
54.5664776986  21275600000.0
50.8015442564  21268600000.0
49.1610314968  21266200000.0
49.5203562009  21129100000.0
46.2666563727  23887000000.0
47.3656144315  20992100000.0
49.4519913619  20977900000.0
54.7978449325  20947200000.0
54.326580319  20944800000.0
49.9816067068  20812500000.0
47.1768175631  20732100000.0
52.484852567  134030000000.0
49.7324562702  25770400000.0
52.9030116463  20533600000.0
46.4957283206  20493400000.0
52.7287469515  249631000000.0
53.8694006491  20443800000.0
54.0162853339  20377600000.0
44.6043987753  92733300000.0
50.314323161  20335100000.0
47.6786664816  20273700000.0
51.9769517206  20115300000.0
46.6363479767  20077500000.0
47.0491412913  20072800000.0
51.2553234587  19909700000.0
55.1601720097  19791600000.0
48.0730691562  19753800000.0
45.1514765916  23218200000.0
54.3403263598  19604900000.0
45.0165851837  19633200000.0
46.7348801707  100605000000.0
51.7373414749  19460700000.0
47.0405820254  19441800000.0
54.9925332031  19812800000.0
50.1674362164  19399300000.0
47.0853885618  18997500000.0
51.2585637681  18938500000.0
54.5805179842  18907700000.0
57.548116532  22532900000.0
53.934536692  18836800000.0
52.2926681928  9.60817e+12
49.4779957674  18725800000.0
45.6683898084  18817900000.0
47.3332328337  19635600000.0
52.6802182716  18636000000.0
58.023975542  9.52105e+12
47.3818731961  18522500000.0
45.3931956985  18456400000.0
49.9211542007  20855000000.0
47.1036437139  18338200000.0
43.9873679642  77467200000.0
54.3004015684  18276800000.0
47.8415793823  18267300000.0
52.6453719954  18151500000.0
54.9445144361  18113700000.0
54.5403878515  17964800000.0
49.8622481544  17953000000.0
55.8260705591  17929400000.0
51.4587311231  17898700000.0
56.9712030105  1.07199e+12
46.8385794152  17870300000.0
47.9108408178  77630200000.0
51.2522369288  17546600000.0
47.1834827314  17515800000.0
49.1979390439  17489800000.0
49.4938362224  17482800000.0
52.8692646621  17468600000.0
44.3277050735  17395300000.0
