25
25
0
0
0.01
0
-1.049671 	 0.587182 	 -0.590770  
-1.241670 	 0.716902 	 0.133820  
-1.267094 	 0.652445 	 -0.116992  
-0.971384 	 0.538087 	 -0.573913  
1.678042 	 0.111014 	 -1.371405  
1.568376 	 0.382885 	 -1.247075  
1.854495 	 -0.274096 	 -1.189168  
1.638211 	 0.111143 	 -1.033205  
1.450083 	 0.168774 	 -1.307813  
1.073937 	 -0.603364 	 -1.537371  
-2.347021 	 -0.160450 	 1.729783  
-1.973191 	 -0.239496 	 1.885937  
-2.370061 	 -0.125782 	 1.735105  
-2.053507 	 0.081729 	 1.657115  
-2.232287 	 0.233605 	 2.266809  
-2.560049 	 -0.167402 	 1.878969  
-1.426751 	 -0.596384 	 2.201093  
-1.611263 	 -1.178439 	 1.963444  
-2.259732 	 -1.186931 	 1.995597  
-2.074269 	 -0.966109 	 1.970899  
-2.275413 	 -1.245903 	 1.873559  
3.924512 	 2.295214 	 2.503258  
3.838034 	 1.987855 	 2.763119  
4.232723 	 2.330287 	 2.564122  
3.723499 	 2.153447 	 2.367767  
4.308991 	 1.304518 	 1.349382  
1.073378 	 1.259618 	 -3.805749  
1.848209 	 1.520862 	 -4.378493  
1.065601 	 1.281701 	 -3.800558  
2.393224 	 2.328392 	 -4.693471  
2.308481 	 3.095656 	 -4.670271  
2.146583 	 2.560731 	 -4.305501  
-3.309493 	 6.948897 	 2.324151  
-3.654935 	 6.523686 	 1.918690  
-3.321464 	 6.922092 	 2.283116  
-2.307471 	 6.910329 	 1.353156  
-1.709011 	 -1.152110 	 0.877226  
-1.997464 	 -0.522845 	 0.523136  
-2.275632 	 -1.242777 	 0.192365  
-1.488852 	 -0.922902 	 1.229297  
-0.557220 	 -1.115152 	 1.739409  
