#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
424750 69327.960938 2811.710693 45312.238281 10.472581 -177.220322 -297.171234 194.094269 -2.044664e+01
424751 69361.671875 2757.082764 45313.054688 -61.009148 -58.498497 -300.508453 61.962170 -1.688798e+01
424752 69653.000000 2952.597412 45296.464844 -43.158310 -251.792480 -287.155396 52.504120 -1.397825e+01
424753 69222.140625 2679.156738 45473.121094 101.276573 -116.096336 -205.185608 35.206863 -1.079803e+01
424754 69125.343750 2954.290283 45243.757812 110.434486 -193.940399 -197.545822 29.770329 1.000000e+37
424755 69384.703125 2664.783203 45226.343750 -33.347286 -127.222649 -222.005508 36.382080 -1.182347e+01
424756 69181.695312 2700.449951 45270.578125 158.288864 -167.177597 -385.387848 21.882664 1.000000e+37
424757 69112.250000 2798.371826 45250.187500 136.206024 -158.977875 -197.835678 22.027964 1.000000e+37
424758 69348.789062 2712.970215 45353.906250 9.392241 13.221243 -446.532654 20.097706 1.000000e+37
424759 69367.195312 2925.884033 45266.945312 140.666458 -190.217468 -151.547104 17.620808 1.000000e+37
424760 69236.820312 2726.849609 45195.246094 173.588852 -124.622726 -268.924286 19.221903 1.000000e+37
424761 69113.078125 2997.270996 45211.406250 91.063240 -199.467957 -200.142792 16.829412 1.000000e+37
424762 69396.414062 2787.223633 45476.042969 146.888168 -205.362183 -222.460800 14.427214 1.000000e+37
424763 69633.390625 2887.455566 45266.050781 -23.928612 -162.432541 -330.063293 16.190643 1.000000e+37
424764 69457.632812 2861.249512 45217.816406 -32.939854 -167.729462 -237.899994 20.978369 -9.797902e+00
424765 69379.039062 2957.697510 45368.597656 81.470543 -267.411346 -179.020493 15.061195 1.000000e+37
424766 69452.734375 2835.599365 45269.019531 25.725653 -181.668808 -474.559998 15.856736 1.000000e+37
424767 69284.140625 2854.785645 45401.171875 39.445946 -339.140015 -381.683319 16.069376 1.000000e+37
424768 69412.187500 2862.467529 45188.316406 -98.465599 -245.860077 -266.864075 16.861933 1.000000e+37
424769 69103.507812 2731.420410 45319.015625 -120.945892 -199.431244 -356.182007 13.602164 1.000000e+37
424770 69131.484375 2665.338379 45317.480469 -7.427221 -242.584427 -400.086639 13.973278 1.000000e+37
424771 69408.265625 2912.142090 45229.757812 131.772690 -273.721466 -195.982620 13.817016 1.000000e+37
424772 69171.218750 2769.491943 45334.261719 120.977829 -256.736145 -338.703247 14.884271 1.000000e+37
424773 69411.828125 2665.268311 45276.703125 37.687016 -340.168549 -336.806580 12.037349 1.000000e+37
424774 69463.484375 2704.541260 45336.675781 47.920048 -343.816040 -294.449158 10.990853 1.000000e+37
424775 69285.648438 2834.175049 45347.941406 202.698196 -70.616913 -172.144699 17.056742 1.000000e+37
424776 69243.250000 2832.928223 45241.964844 140.301834 -149.643723 -324.251587 17.229078 1.000000e+37
