#subID    x  y  z  vx  yv  yz  vmax   B_MAG 
#subID  kpc/h  kpc/h  kpc/h  km/s   km/s   km/s   km/s   mags 
453930.000000 	 44223.199219 	 44749.867188 	 3150.363037 	 -150.487717 	 31.270775 	 -140.809647 	 160.406830 	 -21.372390 
453931.000000 	 44080.781250 	 44765.468750 	 3088.281982 	 -80.455154 	 103.059151 	 -98.557129 	 65.397415 	 -16.475510 
453932.000000 	 44060.804688 	 44586.375000 	 3208.241455 	 -140.048325 	 124.678185 	 -115.853477 	 50.544968 	 -14.680640 
453933.000000 	 44214.843750 	 44760.375000 	 3181.144531 	 -167.426392 	 -71.448921 	 -328.075714 	 23.733759 	 -12.828870 
453934.000000 	 44178.675781 	 44736.359375 	 3230.665039 	 -157.361359 	 -51.294113 	 -258.916473 	 23.094561 	 9999999999999999538762658202121142272.000000 
453935.000000 	 44097.203125 	 44611.859375 	 3180.023193 	 -186.719513 	 149.315781 	 -178.174957 	 18.373278 	 9999999999999999538762658202121142272.000000 
453936.000000 	 44235.320312 	 44840.906250 	 3111.099121 	 -41.744869 	 88.518158 	 -101.096191 	 15.665053 	 9999999999999999538762658202121142272.000000 
453937.000000 	 44168.398438 	 44720.984375 	 3215.235596 	 -286.555054 	 43.588123 	 -126.423607 	 19.242754 	 9999999999999999538762658202121142272.000000 
453938.000000 	 44313.582031 	 44684.609375 	 3234.397949 	 -161.313324 	 130.891693 	 -152.023026 	 13.935257 	 9999999999999999538762658202121142272.000000 
453939.000000 	 44180.605469 	 44712.671875 	 3105.599121 	 -252.065750 	 122.827652 	 -186.347473 	 14.461183 	 9999999999999999538762658202121142272.000000 
453940.000000 	 44280.441406 	 44693.125000 	 3229.335449 	 -214.664322 	 -10.621240 	 -27.135572 	 10.166200 	 9999999999999999538762658202121142272.000000 
453941.000000 	 44154.988281 	 44739.359375 	 3280.947998 	 -203.587341 	 21.285072 	 -205.381454 	 11.791654 	 9999999999999999538762658202121142272.000000 
453942.000000 	 44215.214844 	 44798.375000 	 3062.270020 	 -209.783127 	 -21.015800 	 -149.588562 	 11.972987 	 9999999999999999538762658202121142272.000000 
453943.000000 	 44237.378906 	 44708.273438 	 3131.375244 	 -116.034943 	 175.229584 	 -306.952118 	 11.186923 	 9999999999999999538762658202121142272.000000 
453944.000000 	 44168.386719 	 44635.992188 	 3079.892578 	 -136.739548 	 -85.825546 	 -45.603436 	 10.583548 	 9999999999999999538762658202121142272.000000 
453945.000000 	 44060.097656 	 44674.656250 	 3173.154053 	 -96.371422 	 25.136820 	 -204.500824 	 12.154685 	 9999999999999999538762658202121142272.000000 
459760.000000 	 44471.500000 	 44563.812500 	 3746.400635 	 -139.909256 	 64.404373 	 -140.379517 	 174.662003 	 -21.130450 
459761.000000 	 44466.527344 	 44472.117188 	 3692.800049 	 -33.266094 	 233.634232 	 -103.868973 	 17.119493 	 9999999999999999538762658202121142272.000000 
459762.000000 	 44426.273438 	 44565.992188 	 3720.327393 	 -321.960785 	 84.673134 	 -186.519806 	 19.737617 	 -9.968257 
459763.000000 	 44438.601562 	 44555.710938 	 3684.080566 	 -77.698311 	 104.403267 	 27.606401 	 18.024652 	 9999999999999999538762658202121142272.000000 
459764.000000 	 44416.207031 	 44672.710938 	 3767.822266 	 -144.927994 	 -25.049931 	 -53.584507 	 19.114254 	 9999999999999999538762658202121142272.000000 
459765.000000 	 44487.425781 	 44453.375000 	 3660.968262 	 -185.807922 	 138.836182 	 -75.867485 	 14.337477 	 9999999999999999538762658202121142272.000000 
459766.000000 	 44467.156250 	 44595.843750 	 3690.553955 	 -89.233055 	 161.720398 	 -87.525909 	 20.194099 	 -8.858435 
459767.000000 	 44530.480469 	 44511.078125 	 3748.125244 	 -268.254730 	 60.205139 	 -176.620102 	 14.979511 	 9999999999999999538762658202121142272.000000 
459768.000000 	 44618.691406 	 44590.281250 	 3761.303223 	 0.313918 	 -69.286789 	 -271.112244 	 10.891194 	 9999999999999999538762658202121142272.000000 
459769.000000 	 44474.382812 	 44629.914062 	 3649.686768 	 -209.607559 	 106.224724 	 -48.068348 	 12.625322 	 9999999999999999538762658202121142272.000000 
459770.000000 	 44474.433594 	 44688.257812 	 3749.289307 	 -179.863586 	 13.183146 	 -49.861858 	 9.141822 	 9999999999999999538762658202121142272.000000 
464956.000000 	 43527.058594 	 43351.460938 	 3759.143555 	 -50.948368 	 203.191895 	 -98.919998 	 130.376953 	 -20.398630 
464957.000000 	 43548.605469 	 43388.781250 	 3765.889404 	 -8.410162 	 211.291443 	 -55.214317 	 100.838219 	 -19.743760 
464958.000000 	 43547.277344 	 43365.875000 	 3791.013184 	 -97.909645 	 13.845767 	 -73.937546 	 48.630512 	 -15.381230 
464959.000000 	 43551.531250 	 43405.570312 	 3757.392334 	 -15.427551 	 308.057648 	 38.776333 	 29.096994 	 -16.545070 
464960.000000 	 43557.328125 	 43322.453125 	 3773.848389 	 -71.968971 	 142.232910 	 -163.051224 	 21.827168 	 -13.780930 
464961.000000 	 43564.429688 	 43335.148438 	 3760.188721 	 -138.724304 	 161.875458 	 -158.081238 	 16.978386 	 -13.622740 
464962.000000 	 43420.867188 	 43346.367188 	 3801.334229 	 -51.983433 	 332.212463 	 -110.463989 	 24.514866 	 -9.377547 
464963.000000 	 43494.804688 	 43468.968750 	 3730.976074 	 31.368378 	 224.314087 	 -76.826050 	 19.349030 	 -8.158187 
464964.000000 	 43587.207031 	 43372.484375 	 3720.944580 	 -102.933044 	 343.223511 	 -39.572102 	 16.624626 	 9999999999999999538762658202121142272.000000 
