#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
412908 66413.984375 21779.453125 72193.765625 185.455658 127.418350 177.833374 181.909485 -2.079060e+01
412909 66430.601562 21773.664062 72182.515625 130.740036 106.676659 208.769989 119.672150 -1.973652e+01
412910 66498.703125 21790.902344 72106.429688 136.727173 36.900894 220.409424 58.686241 -1.624240e+01
412911 66232.109375 21478.734375 72164.054688 218.995560 274.984802 96.700600 45.815048 -1.337645e+01
412912 66471.484375 21846.837891 72222.554688 247.478729 -44.617519 121.522575 45.970665 -1.401590e+01
412913 66384.890625 21859.535156 72343.156250 46.400372 108.127014 267.428497 37.469624 -1.222503e+01
412914 66537.046875 21677.148438 71961.046875 221.462875 115.132050 89.005524 33.219910 -1.387373e+01
412915 66346.156250 21913.814453 72312.453125 45.569443 122.057175 275.828461 30.559530 -1.109205e+01
412916 66526.390625 21776.734375 72185.531250 233.365891 42.941017 381.266083 27.959358 -1.090919e+01
412917 66613.062500 21742.994141 72079.804688 307.066315 104.647797 100.563080 22.872330 -8.874823e+00
412918 66237.234375 21861.554688 72363.812500 239.290466 216.553482 155.462494 25.449987 1.000000e+37
412919 66396.515625 21948.771484 72201.054688 60.862644 130.412277 100.739685 26.917187 -9.316388e+00
412920 66400.687500 21638.015625 72207.328125 254.151962 125.079582 266.922974 23.222334 -1.079194e+01
412921 66362.835938 21706.076172 72108.406250 178.358276 189.056412 324.813354 26.806070 -1.111694e+01
412922 66490.187500 21744.880859 72321.656250 91.780540 -0.891004 196.335373 23.404207 1.000000e+37
412923 66489.335938 21738.935547 71937.257812 210.451782 60.678070 176.461014 19.378370 1.000000e+37
412924 66583.343750 21830.539062 72122.289062 215.049133 254.225677 251.990631 19.559631 1.000000e+37
412925 66387.093750 21867.312500 72208.734375 358.857666 135.614746 318.091125 25.352861 1.000000e+37
412926 66424.281250 21691.091797 72181.273438 260.774445 211.619415 65.445297 25.163895 -1.193738e+01
412927 66428.703125 21848.224609 72195.023438 -105.426941 157.300964 198.771011 18.143814 1.000000e+37
412928 66527.765625 21790.701172 72048.085938 192.099869 23.343838 156.367676 11.547667 1.000000e+37
412929 66425.343750 21696.580078 71961.062500 15.026236 195.896820 181.026123 15.256802 1.000000e+37
412930 66337.531250 21725.521484 71966.523438 337.642822 85.443512 191.643768 16.058472 1.000000e+37
412931 66365.375000 21844.152344 72130.601562 297.789551 151.415848 -35.208916 15.568465 1.000000e+37
412932 66406.203125 21838.017578 72133.492188 167.652115 21.950808 156.076874 17.076466 -1.208296e+01
412933 66384.968750 21797.033203 72142.453125 261.074188 426.480621 139.173706 18.222347 1.000000e+37
412934 66447.476562 21544.216797 72028.492188 93.527214 164.446747 301.535828 15.754807 1.000000e+37
412935 66429.617188 21613.162109 72081.445312 129.273743 40.667633 126.324951 14.244480 1.000000e+37
412936 66536.007812 21699.632812 72181.828125 255.257950 204.940170 82.630180 16.469612 1.000000e+37
412937 66325.078125 21752.138672 72205.281250 169.819672 170.053345 430.564087 15.906375 1.000000e+37
412938 66393.601562 21766.269531 72102.265625 138.053131 402.200043 186.425278 14.978476 1.000000e+37
412939 66362.164062 22009.177734 72286.789062 176.726059 152.037033 244.629868 14.805862 1.000000e+37
412940 66549.875000 21946.199219 72275.250000 227.100677 234.044022 305.879120 10.549788 1.000000e+37
412941 66448.429688 21515.906250 72117.632812 274.318451 15.014987 198.238281 11.879541 1.000000e+37
412942 66289.203125 21659.222656 72135.343750 267.499634 306.542816 109.257256 12.033144 1.000000e+37
412943 66508.937500 21719.287109 72233.242188 274.266113 52.789410 295.428345 13.017569 1.000000e+37
412944 66403.937500 21791.548828 72214.648438 390.589203 47.689079 357.555664 20.580362 1.000000e+37
412945 66276.109375 21774.541016 72064.664062 186.142303 171.708588 162.341629 9.925368 1.000000e+37
412946 66358.140625 21913.677734 72177.929688 187.809036 37.828041 181.230225 16.443256 1.000000e+37
412947 66411.031250 21838.783203 72067.578125 104.538292 78.179344 16.668514 13.253509 1.000000e+37
412948 66401.257812 21549.632812 72173.078125 253.267853 142.868546 35.192375 14.021431 1.000000e+37
412949 66381.773438 21770.054688 72134.789062 253.365509 421.483215 107.632797 12.424237 1.000000e+37
412950 66483.789062 21744.199219 72168.804688 237.095444 256.674103 36.633316 14.624894 1.000000e+37
412951 66493.421875 21899.080078 72174.078125 261.437439 263.371399 228.737747 14.056690 1.000000e+37
412952 66400.664062 21597.185547 72083.757812 76.831116 85.921173 73.233131 13.781197 1.000000e+37
412953 66368.835938 21704.960938 71968.437500 25.812326 199.904388 208.943878 8.446322 1.000000e+37
412954 66257.945312 21511.988281 72147.812500 212.838089 291.608490 121.833374 12.579858 1.000000e+37
412955 66417.562500 21881.187500 72200.601562 366.907379 94.982315 294.783691 13.443471 1.000000e+37
412956 66409.062500 21983.341797 72235.484375 271.644897 77.413765 85.240845 13.055317 1.000000e+37
412957 66267.359375 21629.591797 72093.554688 256.416077 293.392700 138.445541 10.315725 1.000000e+37
412958 66497.945312 21729.398438 71952.210938 79.767242 270.150818 194.147430 11.635433 1.000000e+37
412959 66405.460938 21582.076172 72149.351562 172.000504 -10.191216 125.563744 8.729230 1.000000e+37
412960 66510.304688 22008.150391 72139.851562 146.777771 -25.215330 279.138336 9.366035 1.000000e+37
412961 66392.414062 21875.238281 72306.515625 292.602234 232.586212 129.664948 14.378629 1.000000e+37
412962 66400.421875 21658.972656 72087.976562 56.915432 85.605461 74.546120 9.304749 1.000000e+37
412963 66472.265625 21875.257812 72329.140625 51.406399 79.043243 276.327148 8.783408 1.000000e+37
412964 66573.867188 21756.351562 72115.851562 178.405853 307.021606 293.792236 9.872470 1.000000e+37
412965 66390.296875 21701.144531 72103.148438 304.626617 351.736847 152.780350 7.258940 1.000000e+37
412966 66348.757812 21966.708984 72296.929688 49.882023 204.987808 304.931610 10.349021 1.000000e+37
412967 66335.351562 21838.173828 72366.937500 261.097900 214.411896 24.447912 8.292500 1.000000e+37
412968 66460.351562 21895.068359 72188.632812 119.096504 137.479904 39.404888 11.903799 1.000000e+37
412969 66323.164062 21710.794922 72288.304688 97.284050 263.297424 122.756981 11.866967 1.000000e+37
412970 66389.976562 21726.900391 72077.148438 160.009232 151.523239 342.247345 9.815746 1.000000e+37
412971 66384.656250 21665.175781 72104.312500 293.864410 339.793365 138.581955 9.256125 1.000000e+37
412972 66387.570312 21737.708984 71998.171875 199.179062 241.980011 237.089767 7.119678 1.000000e+37
412973 66577.835938 21714.705078 72096.070312 211.497757 296.688782 284.821228 6.198787 1.000000e+37
412974 66350.601562 21775.279297 72043.875000 364.685364 130.064651 207.755646 8.321236 1.000000e+37
439852 65957.210938 21764.929688 73198.062500 159.434174 194.323624 61.465721 163.427002 -2.110752e+01
439853 65815.359375 21799.953125 73028.226562 152.859833 128.959183 160.048798 95.113739 -1.870719e+01
439854 66064.664062 21672.621094 73151.312500 133.513321 163.202179 101.292282 34.458210 -1.195779e+01
439855 65951.515625 21768.951172 73202.882812 220.185364 135.947998 160.187576 26.929098 -1.633163e+01
439856 65951.015625 21771.519531 73197.968750 125.049721 240.837326 166.410278 28.155033 -1.627782e+01
439857 65933.765625 21803.896484 73220.554688 291.735443 295.748230 24.269087 28.813389 -1.155971e+01
439858 65842.390625 21714.125000 73210.523438 52.824852 181.808350 192.635544 18.182049 1.000000e+37
439859 65977.203125 21716.074219 73198.414062 68.043518 342.393250 -41.939823 20.925356 1.000000e+37
439860 66098.390625 21834.425781 73140.109375 24.414606 104.249496 29.362944 15.659757 1.000000e+37
439861 65879.507812 21814.525391 73157.062500 224.566437 294.484436 -1.222936 19.256601 1.000000e+37
439862 65845.007812 21734.921875 73366.390625 251.974121 208.206863 137.764206 17.118431 1.000000e+37
439863 65955.312500 21826.636719 73142.070312 -4.767721 232.086761 2.334871 14.821002 1.000000e+37
439864 65844.812500 21798.896484 73118.023438 167.349854 139.720184 107.175720 15.617220 1.000000e+37
439865 65907.250000 21747.455078 73198.421875 262.815735 371.303802 -25.533970 16.434803 1.000000e+37
439866 65861.257812 21897.757812 72953.882812 155.169556 213.775711 28.359135 10.382355 1.000000e+37
439867 65973.132812 21771.882812 73159.804688 68.667900 261.797180 -78.440788 11.885692 1.000000e+37
439868 65824.242188 21811.050781 72975.984375 165.060089 331.718964 34.475002 10.217627 1.000000e+37
439869 65754.140625 21859.021484 73036.453125 172.015869 201.594559 198.096878 9.611951 1.000000e+37
439870 65727.671875 21840.666016 73018.968750 179.160522 155.704178 96.772408 10.395452 1.000000e+37
439871 65929.421875 21848.986328 73188.726562 203.461533 298.497070 -2.013808 10.885894 1.000000e+37
439872 65832.078125 21750.595703 73169.906250 49.474365 165.881454 88.178978 8.114677 1.000000e+37
439873 65903.390625 21820.429688 73309.539062 99.798294 64.343475 101.739304 7.433788 1.000000e+37
439874 65790.750000 21737.527344 73084.312500 172.102646 217.340759 154.067810 12.126891 1.000000e+37
468525 67100.101562 21449.787109 72488.304688 84.029091 138.293152 55.243687 162.697205 -2.053777e+01
468526 67185.882812 21353.763672 72313.781250 31.288420 149.064835 32.125484 27.431728 1.000000e+37
468527 67005.671875 21501.388672 72596.500000 12.420003 67.130211 100.621521 22.092207 -8.602280e+00
468528 67173.531250 21572.058594 72492.265625 52.674923 152.705597 82.542793 20.961592 -1.034648e+01
468529 67062.335938 21484.324219 72493.781250 67.510109 318.277313 71.416672 20.370302 -1.099738e+01
468530 67221.562500 21474.318359 72463.390625 170.875397 215.401764 104.562523 19.104502 1.000000e+37
468531 67084.648438 21402.562500 72563.226562 113.890106 231.028793 -91.156891 15.768295 1.000000e+37
468532 67135.679688 21462.955078 72487.171875 199.387726 288.221558 -9.282711 20.991705 -1.048047e+01
468533 67058.218750 21449.554688 72508.867188 -55.253658 -9.019878 -6.775177 18.354210 1.000000e+37
468534 67047.796875 21356.068359 72395.328125 51.692528 114.098419 -36.644028 9.587287 1.000000e+37
468535 67062.265625 21435.548828 72494.562500 126.862411 -28.591089 -17.124681 20.117779 1.000000e+37
468536 67094.289062 21581.136719 72526.156250 -14.601781 143.452286 152.224091 14.407371 1.000000e+37
468537 67117.828125 21459.500000 72535.718750 199.352753 51.869160 -97.940193 13.957501 1.000000e+37
