#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
429811 13356.014648 30719.572266 6637.434570 -256.081055 -71.359314 -70.542244 183.159561 -2.137070e+01
429812 13403.320312 30642.544922 6441.817871 -179.486618 24.193890 -91.889328 54.702450 -1.561127e+01
429813 13227.092773 30558.132812 6596.102539 -157.108765 -76.641312 -170.521652 41.366341 -1.136270e+01
429814 13389.454102 30700.486328 6679.915527 -182.555405 -199.605667 -155.433212 52.502018 -1.458422e+01
429815 13306.708008 30575.177734 6808.568848 -375.138123 -86.533257 -104.396461 32.836243 -1.120745e+01
429816 13357.003906 30714.232422 6641.729004 -330.891785 -158.979095 -98.898987 31.388489 -1.733335e+01
429817 13522.783203 30787.500000 6573.657715 -205.355362 41.857128 -27.960066 17.770525 1.000000e+37
429818 13481.440430 30863.515625 6589.386230 -286.557220 -100.049248 75.135719 21.393311 1.000000e+37
429819 13385.821289 30681.675781 6572.729980 -133.132019 5.656632 -187.023941 19.056488 1.000000e+37
429820 13306.571289 30624.572266 6528.589355 -330.400635 26.043106 -4.147519 19.064056 1.000000e+37
429821 13383.152344 30737.843750 6605.617188 -42.803539 -104.297913 -27.157774 21.251257 -9.481850e+00
429822 13298.942383 30680.638672 6767.239258 -86.276718 -101.087540 -6.886692 16.267557 1.000000e+37
429823 13256.206055 30657.654297 6661.801758 -331.252258 -71.117294 -52.539597 15.886137 -1.138936e+01
429824 13213.859375 30684.666016 6509.565430 -194.428329 -60.130440 -142.252808 15.281460 1.000000e+37
429825 13443.713867 30612.375000 6682.789062 -376.770294 27.252573 -190.885117 12.209767 1.000000e+37
429826 13212.057617 30524.787109 6575.101562 -154.817719 -107.047745 -159.368561 17.720287 1.000000e+37
429827 13368.995117 30692.369141 6628.957031 -293.057953 -56.849689 -54.884506 13.679785 -1.130124e+01
