#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
461077 22899.039062 57625.960938 21289.667969 17.291830 84.035583 153.663055 160.198654 -2.066575e+01
461078 22932.107422 57761.343750 21152.818359 -10.769261 33.875473 243.337723 52.692509 -1.512305e+01
461079 22911.316406 57649.078125 21276.564453 -108.053520 256.186646 118.201691 63.380726 -1.655344e+01
461080 22728.468750 57641.832031 21226.939453 44.165169 -3.482794 71.604607 37.591721 -1.169615e+01
461081 22937.037109 57699.375000 21309.376953 86.822739 -30.649641 82.178490 40.511906 -1.242635e+01
461082 22800.031250 57654.539062 21267.484375 105.061615 -14.557835 164.298462 32.225075 -1.139385e+01
461083 22946.269531 57486.792969 21128.916016 -39.755291 41.730404 152.153503 23.606562 1.000000e+37
461084 22835.203125 57828.554688 21392.269531 28.270807 47.075657 171.090057 25.498001 1.000000e+37
461085 22937.398438 57666.480469 21364.093750 76.995377 23.834602 133.676147 23.396484 1.000000e+37
461086 22907.941406 57609.562500 21292.302734 -24.629663 131.716187 63.125870 18.097170 -1.389498e+01
461087 22995.990234 57629.414062 21422.199219 -43.598076 -10.648344 51.567001 17.588291 1.000000e+37
461088 22910.902344 57710.593750 21178.705078 122.392426 -1.757230 113.642281 13.380635 1.000000e+37
461089 22881.582031 57644.070312 21377.304688 -79.134834 2.400519 187.370895 19.659939 1.000000e+37
461090 22824.318359 57579.312500 21290.847656 4.835169 198.593918 254.374329 17.979822 1.000000e+37
461091 22926.583984 57676.910156 21367.253906 -82.657738 157.106964 266.308502 16.896227 1.000000e+37
461092 22982.080078 57713.902344 21281.437500 5.694181 134.879227 155.166199 14.052102 -8.967426e+00
461093 22940.365234 57678.742188 21281.384766 -35.656265 -66.702797 146.107452 16.125393 1.000000e+37
461094 22932.763672 57723.265625 21371.048828 91.340408 109.127892 173.953522 11.789498 1.000000e+37
461095 22941.292969 57743.878906 21115.332031 -55.862617 44.925556 232.756073 14.089596 1.000000e+37
461096 22945.455078 57799.761719 21354.308594 58.393223 83.618721 236.513275 9.523454 1.000000e+37
461097 22969.031250 57611.949219 21322.056641 21.449291 226.570770 47.830841 12.113945 1.000000e+37
461098 22822.576172 57600.558594 21278.046875 -26.950300 47.158939 300.466125 11.711671 1.000000e+37
461099 22871.062500 57694.578125 21241.523438 138.302322 40.553467 295.738403 9.789125 1.000000e+37
461100 22957.279297 57788.289062 21371.335938 -40.030003 64.664658 229.716461 9.447287 1.000000e+37
465436 22933.791016 58179.457031 20599.628906 -37.251007 61.855221 171.442184 154.753769 -1.995008e+01
465437 23001.851562 58138.316406 20500.429688 48.262253 -35.728592 202.080231 42.061390 -1.210204e+01
465438 22917.394531 58153.503906 20713.095703 -108.881630 42.026020 119.898529 40.949883 -1.324405e+01
465439 22920.144531 58111.410156 20603.468750 -105.447258 70.042152 -15.427976 29.025166 1.000000e+37
465440 22881.308594 58205.746094 20588.330078 -75.365601 38.968456 12.580821 31.207380 -1.164483e+01
465441 22958.982422 58096.535156 20649.996094 -15.393033 204.796494 162.450729 20.802767 1.000000e+37
465442 22865.582031 58222.160156 20632.039062 -83.881332 60.791149 70.983551 22.790352 1.000000e+37
465443 22885.664062 58216.277344 20492.167969 86.940819 97.405228 222.441010 14.059468 1.000000e+37
465444 22986.904297 58084.363281 20574.748047 87.869469 -11.294507 146.882004 11.916945 1.000000e+37
465445 22930.148438 58258.058594 20650.761719 -145.628067 9.295952 88.353378 12.097004 1.000000e+37
465446 22847.267578 58261.433594 20685.224609 -28.514658 61.613773 25.228548 11.471174 1.000000e+37
465447 23024.070312 58149.738281 20626.394531 60.023479 49.436665 80.049515 10.858957 1.000000e+37
594698 23648.494141 59074.175781 22519.560547 39.471207 140.265778 127.165550 39.507370 -1.267906e+01
594700 23608.509766 59088.906250 22494.156250 118.571426 50.439922 116.819221 20.608450 1.000000e+37
594701 23671.945312 59078.527344 22479.816406 158.184143 60.131237 113.439064 16.371696 1.000000e+37
595158 22924.585938 57796.496094 22470.597656 -51.539696 90.329399 120.723618 60.990829 -1.595820e+01
595159 22874.810547 57812.613281 22327.515625 -33.256649 97.023026 161.923737 51.434814 -1.514159e+01
595160 22895.855469 57787.781250 22392.582031 -45.921108 80.436783 155.220261 53.672539 -1.421886e+01
595161 22862.751953 57808.085938 22319.523438 -39.853985 110.860451 160.368195 29.881161 -1.228812e+01
595162 22876.152344 57821.218750 22309.238281 -11.685209 144.944809 190.961380 28.792534 1.000000e+37
595163 22856.751953 57856.214844 22299.523438 -86.670509 80.112541 172.658539 16.642561 1.000000e+37
595164 22893.181641 57820.285156 22418.357422 -43.430370 119.002411 210.465714 10.112726 1.000000e+37
623015 22695.761719 57759.746094 21557.808594 -50.418289 50.694286 81.677422 71.267807 -1.734299e+01
623016 22720.861328 57777.296875 21559.484375 -25.758846 -15.597545 129.182037 18.577749 1.000000e+37
623017 22720.591797 57767.281250 21522.384766 -51.123138 -6.227019 118.995461 19.384895 -8.467831e+00
623018 22688.027344 57736.125000 21541.589844 -6.099510 16.225964 53.194824 16.325956 1.000000e+37
623019 22673.994141 57769.328125 21556.250000 -55.133530 -17.314163 101.108185 11.989563 1.000000e+37
626306 23202.912109 58648.761719 20803.914062 -71.178040 22.163126 163.277283 59.126934 -1.570633e+01
626307 23151.052734 58719.175781 20842.451172 -55.175659 34.416729 106.615486 52.969604 -1.425745e+01
626308 23243.607422 58673.453125 20737.257812 -45.181301 -12.174198 155.495285 17.276451 1.000000e+37
626309 23135.171875 58704.902344 20838.023438 -97.344032 51.989315 86.358299 12.293418 1.000000e+37
626310 23145.712891 58759.949219 20891.458984 -84.296684 36.240437 107.311180 9.963229 1.000000e+37
635180 22766.162109 56950.218750 22014.404297 86.537811 37.182106 124.503281 69.349121 -1.650422e+01
635181 22832.437500 56977.667969 21985.103516 22.466345 64.501793 146.466736 17.846064 1.000000e+37
635182 22725.474609 56981.164062 21989.488281 150.404419 41.651356 157.176590 9.329284 1.000000e+37
640541 23132.611328 57952.652344 22931.304688 -63.912792 72.889061 176.414948 60.092545 -1.538558e+01
640542 23028.337891 57932.511719 22952.140625 -34.244297 97.445366 148.355438 46.371792 -1.394018e+01
640543 23155.056641 57980.746094 22950.240234 -41.509411 111.894348 232.402176 10.280344 1.000000e+37
658992 22818.410156 57384.074219 21643.660156 18.017818 94.988235 87.365089 62.254620 -1.582889e+01
681360 22276.767578 56749.621094 21248.130859 57.095852 70.557106 152.490097 61.556335 -1.518884e+01
688209 23132.761719 57958.417969 21683.595703 12.557408 10.900097 115.845917 55.603184 -1.456652e+01
688210 23140.392578 57996.570312 21690.417969 7.944759 -15.459122 97.145538 11.210469 1.000000e+37
688211 23100.289062 57931.621094 21604.074219 -3.757004 -0.501287 149.910019 9.105308 1.000000e+37
688212 23116.849609 57956.191406 21617.894531 19.988291 19.035137 147.140457 8.847610 1.000000e+37
697807 22813.218750 57625.722656 21491.972656 99.643791 134.954025 86.158264 55.348385 -1.406392e+01
767822 22835.994141 57679.378906 20396.464844 -38.731750 138.676376 172.441620 43.973927 -1.180513e+01
767823 22795.201172 57693.082031 20388.802734 -33.799572 160.330383 159.521805 13.554605 1.000000e+37
802522 23505.828125 59359.695312 22200.462891 54.020027 85.600739 171.488724 40.424126 -1.118072e+01
823337 24384.396484 57078.304688 21362.341797 -102.232986 92.544655 152.193771 31.948641 1.000000e+37
823338 24405.511719 57065.679688 21324.470703 -96.699135 77.570900 180.143463 17.250666 1.000000e+37
824558 23586.060547 56113.328125 20939.251953 -80.273338 83.594727 120.171448 33.125484 -1.070823e+01
825167 22821.925781 58097.722656 20275.205078 -21.969845 77.341995 170.619812 41.456089 -1.350957e+01
825711 22716.529297 57583.808594 21447.042969 38.916645 104.425705 151.847031 42.800232 -1.278424e+01
826287 22658.466797 57944.324219 20979.708984 -43.838123 46.708141 130.821579 37.970333 -1.245885e+01
826288 22634.605469 57929.015625 20952.779297 -61.902107 60.683109 140.972061 11.738548 1.000000e+37
839849 22795.169922 57513.335938 21031.503906 75.575882 112.518883 223.157043 39.808670 -1.286579e+01
841695 22629.576172 57579.167969 21283.117188 10.626837 5.693021 96.248123 36.975456 -1.105232e+01
841696 22701.578125 57567.980469 21255.998047 35.644077 -35.978535 142.865662 12.660810 1.000000e+37
841697 22685.582031 57571.078125 21265.208984 24.959547 17.896748 56.560314 9.226727 1.000000e+37
842463 23194.423828 58060.890625 20685.486328 46.133816 36.998852 69.325027 25.894100 1.000000e+37
842464 23220.796875 58089.757812 20728.021484 58.438499 49.648991 66.325844 19.434256 1.000000e+37
842465 23160.654297 58069.902344 20674.734375 -7.710369 99.107651 141.301453 7.581500 1.000000e+37
850592 23099.292969 57986.316406 19607.462891 -28.149847 64.260529 160.254120 34.902054 1.000000e+37
850775 23302.291016 56994.738281 22067.947266 -94.240082 110.893730 157.524323 30.552078 1.000000e+37
850776 23272.712891 56975.867188 22093.486328 -75.553619 93.660522 153.664413 11.732656 1.000000e+37
859855 22674.710938 57571.597656 21360.082031 -27.925583 108.040688 189.121826 29.396593 -9.345049e+00
859856 22718.855469 57571.484375 21339.986328 -51.975559 167.933624 159.647690 14.578799 1.000000e+37
864244 23297.781250 58562.488281 22504.609375 45.944168 68.444473 138.920258 29.430553 1.000000e+37
875639 23483.994141 59397.832031 21646.779297 -40.191154 99.438889 171.103577 23.538843 1.000000e+37
875640 23468.242188 59424.128906 21648.089844 -33.861542 107.249573 163.873795 15.992148 1.000000e+37
875641 23487.494141 59400.925781 21622.582031 -31.630085 107.110329 195.406784 13.221651 1.000000e+37
878007 23278.830078 57918.937500 22518.443359 23.307947 38.437099 139.033325 27.064474 1.000000e+37
878008 23274.757812 57922.976562 22519.070312 34.771454 31.784405 141.353699 14.042185 1.000000e+37
911513 22966.218750 57662.914062 22666.318359 109.000175 22.573391 109.582901 25.182480 1.000000e+37
911514 22931.531250 57626.644531 22665.333984 128.801437 30.139322 111.792923 9.356617 1.000000e+37
911515 22929.591797 57705.515625 22679.472656 98.892006 7.773172 108.691452 8.708324 1.000000e+37
911709 23085.240234 58028.195312 19879.503906 -30.635338 69.464478 178.756821 33.791592 -1.148638e+01
937600 23481.968750 56469.402344 21526.238281 -91.268776 99.874985 149.319046 17.272474 1.000000e+37
937601 23464.744141 56488.683594 21561.195312 -86.712090 91.554222 137.170319 17.894119 1.000000e+37
959470 21672.466797 57581.886719 22149.001953 101.091873 13.316085 100.387505 25.067764 1.000000e+37
959784 22375.427734 59722.007812 21263.501953 85.372131 73.548561 116.459480 25.105984 1.000000e+37
970067 23241.742188 56087.058594 20569.466797 -24.552711 96.554199 121.766922 21.248877 1.000000e+37
971675 23063.279297 58278.964844 22609.632812 -55.218094 73.910492 171.828735 26.877556 1.000000e+37
987443 22890.429688 56794.910156 22263.230469 53.749680 40.655640 129.811890 24.975956 1.000000e+37
992868 23545.865234 59531.859375 22108.273438 70.710342 76.326050 171.830750 28.314339 1.000000e+37
999265 23161.562500 58171.378906 20069.785156 25.730585 23.846531 188.937744 26.820597 -8.548388e+00
1000135 24373.349609 56728.968750 20171.583984 -112.443428 60.206734 123.518913 24.001413 1.000000e+37
1001762 22874.978516 57770.781250 22130.992188 -58.804520 99.671661 159.826538 26.893322 1.000000e+37
1012097 23052.142578 57479.968750 21264.445312 -30.931860 79.405502 98.377571 26.186043 1.000000e+37
1031110 23058.185547 57494.128906 21999.082031 78.793304 25.882563 99.852600 21.700329 1.000000e+37
1031111 23051.097656 57489.914062 21957.896484 89.776031 20.533365 104.735306 8.375483 1.000000e+37
1038252 23025.123047 58353.289062 20725.757812 93.027687 -21.480633 99.518288 16.637772 1.000000e+37
1038253 23006.666016 58331.203125 20738.490234 -94.945816 -32.428295 144.255432 16.942511 1.000000e+37
1038254 23014.835938 58326.468750 20736.166016 -99.101479 -41.598930 148.130737 11.144056 1.000000e+37
1038255 23010.402344 58305.378906 20724.310547 -110.487938 -37.866112 155.053925 11.037439 1.000000e+37
1041402 22882.515625 57043.816406 20342.089844 -26.329809 115.512360 145.696732 22.842920 1.000000e+37
1041403 22873.531250 57021.148438 20333.166016 -16.735291 109.511131 158.457642 13.067478 1.000000e+37
1041404 22886.640625 57005.175781 20307.455078 -27.253159 121.793098 157.936508 8.767898 1.000000e+37
1059453 22717.140625 57951.628906 21134.876953 0.199865 108.187737 212.278519 27.557978 -1.028941e+01
1066632 23189.220703 56678.750000 21305.652344 -66.318924 108.171509 143.487106 22.134912 1.000000e+37
1072181 23155.238281 56177.277344 20750.466797 -22.915592 98.359200 126.815407 23.356569 1.000000e+37
1073966 23116.589844 57738.660156 22620.353516 -53.312859 109.289856 143.423004 22.914768 1.000000e+37
1082477 22992.072266 57716.144531 22870.025391 -84.976387 123.604172 168.522552 16.618013 1.000000e+37
1082478 22977.951172 57724.273438 22876.232422 -91.824310 123.671425 155.787094 15.972108 1.000000e+37
1087784 23327.000000 59170.402344 22071.939453 110.094330 63.774387 133.970184 23.146564 1.000000e+37
1096913 23076.250000 57646.429688 21601.191406 59.092770 -0.383007 69.667847 19.100193 1.000000e+37
1105041 21448.033203 56935.015625 20068.474609 16.393093 54.172073 122.832443 22.125689 1.000000e+37
1105042 21442.597656 56931.996094 20068.117188 14.622842 28.477152 119.922974 12.644145 1.000000e+37
1118438 23004.560547 57662.300781 21876.648438 -61.140362 45.818787 119.135963 23.367111 1.000000e+37
1118468 23068.898438 58910.777344 20848.251953 -105.480530 37.168015 178.963226 20.752106 1.000000e+37
1151792 22454.214844 57156.890625 21690.289062 -18.942305 141.006592 158.480865 20.004190 1.000000e+37
1153700 23796.804688 59161.292969 22349.421875 -37.449230 119.461441 183.943161 20.861681 1.000000e+37
1155551 23003.953125 57837.730469 22552.560547 103.965561 9.174503 105.558487 19.406273 1.000000e+37
1167276 22849.662109 57946.277344 22169.183594 -40.706806 100.643028 164.019302 22.665409 1.000000e+37
1171476 23528.951172 59166.695312 21829.865234 -41.788982 114.860611 165.260254 20.709713 1.000000e+37
1173702 22485.455078 56917.742188 21282.673828 55.565742 77.707054 166.222504 18.791636 1.000000e+37
1175817 22952.140625 56886.019531 20379.287109 -28.120132 117.988083 138.325851 19.038216 1.000000e+37
1176961 22858.457031 57861.691406 20327.460938 -14.328867 62.026756 186.835098 30.132332 -1.162694e+01
1183445 22796.072266 57856.535156 20603.128906 -22.089737 159.325867 172.088257 21.966015 1.000000e+37
1186653 23047.335938 58634.773438 20575.474609 55.079594 0.307752 152.294281 16.902864 1.000000e+37
1186654 23024.298828 58642.812500 20559.898438 50.133484 -8.832630 157.184708 13.448787 1.000000e+37
1194510 23672.937500 59587.972656 21913.830078 -44.107101 110.617393 189.003128 21.017689 1.000000e+37
1207574 23147.759766 59070.207031 21012.087891 -91.290337 55.976784 166.547592 18.951948 1.000000e+37
1222474 22622.203125 57659.695312 21344.771484 33.898720 107.878090 170.938522 16.627184 1.000000e+37
1225126 22805.664062 57919.742188 19254.003906 -49.044296 73.066132 131.270462 14.940172 1.000000e+37
1225127 22816.613281 57925.367188 19230.167969 -54.900879 81.423027 124.052826 11.238300 1.000000e+37
1226478 22709.230469 58727.785156 19255.941406 14.654235 51.053467 123.133804 21.691380 1.000000e+37
1238833 23123.882812 57835.933594 21326.132812 -22.649689 -20.116615 121.686600 23.682255 1.000000e+37
1244363 23503.328125 59538.078125 21469.050781 37.357334 72.880516 172.057236 18.868994 1.000000e+37
1251535 22646.154297 59187.332031 19467.021484 18.485184 55.165462 117.611626 19.052866 1.000000e+37
1264771 22502.015625 58168.472656 22336.466797 114.631172 15.933514 101.651413 15.679350 1.000000e+37
1264772 22490.449219 58136.125000 22338.556641 122.431030 26.223190 97.322868 12.269072 1.000000e+37
1269474 23266.017578 56270.035156 19962.730469 -25.923090 80.568314 115.780052 15.257504 1.000000e+37
1269475 23271.068359 56278.132812 19969.205078 -18.547195 74.395325 116.639565 12.693919 1.000000e+37
1278928 23247.052734 58550.367188 22352.193359 45.064850 57.629242 154.963776 19.411707 1.000000e+37
1278945 22890.974609 58386.589844 19535.990234 19.154343 39.865242 145.189148 20.943245 1.000000e+37
1280519 22798.597656 57777.031250 21123.232422 16.727299 135.626343 172.238525 18.451914 1.000000e+37
1293990 23573.511719 59207.578125 22444.726562 116.658936 98.217903 145.932266 21.211634 1.000000e+37
1295714 23350.109375 58180.316406 21851.966797 22.158720 32.817814 122.360687 21.673174 1.000000e+37
1299272 22978.519531 58414.820312 20773.781250 101.199936 -6.905324 111.869110 15.273083 1.000000e+37
1302758 23395.369141 59237.753906 21834.580078 38.835827 73.952217 166.137939 17.671213 1.000000e+37
1308129 23024.720703 57718.437500 20714.560547 -31.917957 56.939911 198.057983 23.905788 -1.001628e+01
1309900 22767.320312 57522.761719 21900.537109 -81.026436 135.741348 132.344818 19.582880 1.000000e+37
1311754 22538.794922 56477.980469 22413.712891 16.690851 70.559509 215.668289 10.381443 1.000000e+37
1319279 22731.289062 56757.371094 22132.744141 87.640320 50.000931 127.489746 20.454893 1.000000e+37
1321165 23016.833984 57528.210938 21203.175781 -92.203796 1.304300 178.454971 17.268606 1.000000e+37
1321217 22474.634766 57521.691406 19950.253906 24.053637 83.902153 148.114487 15.233360 1.000000e+37
1321218 22705.007812 57950.648438 21963.107422 -62.904411 47.746990 134.121033 17.346510 1.000000e+37
1323094 22817.957031 59506.859375 20636.171875 50.649548 63.139664 140.256378 18.569191 1.000000e+37
1328891 22183.205078 57234.675781 20238.093750 43.261776 65.801292 141.930862 17.621038 1.000000e+37
1355401 22286.498047 57000.281250 21756.761719 13.482844 124.508514 179.695435 18.237913 1.000000e+37
1370505 22503.199219 56767.253906 21580.146484 -26.055328 131.696960 160.797043 20.612593 1.000000e+37
1372701 22975.228516 57387.632812 21942.417969 64.150139 39.199028 104.772820 15.647785 1.000000e+37
1372702 22999.130859 57411.175781 21946.783203 82.380173 24.363407 113.061081 13.184026 1.000000e+37
1372705 22952.578125 57840.023438 22770.693359 -62.548141 130.143875 156.082535 18.197477 1.000000e+37
1413251 23085.515625 57941.542969 20303.779297 -40.712822 50.043812 186.961548 20.409409 1.000000e+37
1413286 22859.462891 57146.539062 20438.792969 -22.647501 119.379524 146.245163 16.467991 1.000000e+37
1428988 22949.228516 58816.695312 21206.740234 -53.629318 71.183395 124.454170 19.287025 1.000000e+37
1431669 23113.994141 58719.535156 20666.255859 -47.340996 5.640842 200.308243 17.760632 1.000000e+37
1434308 22513.208984 58322.886719 21958.833984 110.405190 29.780720 108.377747 16.037622 1.000000e+37
1442540 23215.052734 56601.164062 21201.095703 -66.478455 107.079803 144.691910 15.742568 1.000000e+37
1445247 22620.218750 57748.988281 21372.849609 -24.091713 58.911095 74.130836 23.497236 1.000000e+37
1445296 23000.107422 57462.492188 21983.541016 77.922272 28.524282 115.368156 12.580226 1.000000e+37
1445377 22483.832031 57267.906250 21947.107422 47.337479 83.779320 148.148697 19.600832 1.000000e+37
1465425 23146.910156 57837.300781 22169.351562 68.188019 17.287573 119.564285 15.281088 1.000000e+37
1468362 22848.960938 57710.218750 21525.923828 44.358593 20.007854 222.869461 18.800270 1.000000e+37
1477473 23141.353516 57537.558594 22233.726562 22.554214 65.027931 120.546371 16.498922 1.000000e+37
1487013 22779.093750 59944.597656 20611.410156 52.860664 86.368065 135.414566 13.777218 1.000000e+37
1487014 22787.945312 59915.988281 20609.800781 51.050735 93.687271 133.956863 12.556297 1.000000e+37
1496558 23216.769531 57736.628906 20998.625000 18.439276 11.603528 151.460068 19.629351 1.000000e+37
1506351 22689.394531 57549.785156 21823.244141 -55.766129 137.947159 116.578285 15.339595 1.000000e+37
1506406 22775.251953 57555.433594 21559.931641 136.534119 20.102371 81.543373 14.004148 1.000000e+37
1506493 22330.677734 56696.898438 21515.656250 54.776924 74.610046 143.064102 19.266014 1.000000e+37
1548419 23223.519531 57541.656250 22193.886719 -108.986404 106.358963 165.679367 15.248579 1.000000e+37
1548420 23252.292969 57542.570312 22208.857422 -120.134552 108.086639 165.052353 12.340594 1.000000e+37
1556034 21827.728516 58909.550781 21235.175781 88.611740 49.158749 95.158623 16.080585 1.000000e+37
1567663 22767.816406 57428.343750 22670.437500 -11.696450 73.456192 150.944992 16.811802 1.000000e+37
1567750 22953.847656 56671.894531 22400.363281 68.627419 35.654636 130.245712 16.121292 1.000000e+37
1579757 23353.648438 59489.300781 21911.748047 -29.948967 102.716530 177.825531 15.642530 1.000000e+37
1579865 22399.433594 57159.484375 22137.220703 46.558510 84.098267 155.785843 17.749163 1.000000e+37
1600367 23531.511719 59390.902344 21120.996094 -41.283539 71.938652 165.129517 17.632935 1.000000e+37
1604575 22616.832031 57762.808594 21526.363281 -28.815067 100.350243 83.934814 18.620724 1.000000e+37
1604785 22097.898438 56883.726562 22351.945312 5.908897 68.443871 176.854111 15.855235 1.000000e+37
1609086 22713.734375 57484.332031 21162.373047 64.473824 35.768734 89.629829 18.537651 1.000000e+37
1613377 23054.482422 57856.582031 19010.671875 -37.180477 28.828705 121.018585 16.831083 1.000000e+37
1613439 22630.613281 57490.476562 21823.060547 -34.346626 151.529037 119.619911 13.604341 1.000000e+37
1622508 22763.117188 58063.949219 20595.697266 -109.873283 136.376816 194.007034 16.004967 1.000000e+37
1626736 22008.980469 57282.191406 22618.787109 111.852249 3.634638 111.062302 14.179668 1.000000e+37
1627030 22871.333984 57879.210938 19294.677734 -65.629372 75.288101 128.690704 13.744375 1.000000e+37
1627106 22133.712891 56949.273438 22353.126953 8.766125 108.385719 205.402649 15.365895 1.000000e+37
1631626 23106.937500 57581.777344 21456.347656 25.828789 43.283268 115.704773 8.392797 1.000000e+37
