#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
426932 39419.796875 9984.520508 55747.867188 -81.946663 -109.989319 -119.395500 161.635422 -2.049635e+01
426933 39290.519531 9804.722656 55509.464844 -20.749828 11.316413 -75.692551 73.214844 -1.679046e+01
426934 39209.753906 9734.629883 55541.566406 32.687756 23.443735 -76.175064 73.674568 -1.704889e+01
426935 39328.746094 9920.012695 55526.902344 -153.952591 -52.982475 -1.791476 68.577225 -1.730672e+01
426936 39345.773438 9963.925781 55879.449219 -69.997696 -169.274811 -162.289474 45.956100 -1.472643e+01
426937 39379.773438 10067.075195 55553.308594 -17.245920 -19.445820 -134.074692 40.128799 -1.145769e+01
426938 39450.289062 9946.790039 55573.058594 -29.871576 -178.423737 -78.807465 35.818584 -1.211286e+01
426939 39273.667969 10113.320312 55673.507812 -54.884193 -203.879700 -181.400253 29.678909 1.000000e+37
426940 39328.406250 9930.055664 55521.613281 -145.889496 -45.387302 11.868841 31.970703 -1.556808e+01
426941 39486.531250 9881.125977 55656.082031 32.504707 -96.904015 -26.545992 25.910172 -8.217155e+00
426942 39369.335938 10054.245117 55636.585938 -133.975601 -87.001427 -142.293655 27.676941 -1.323748e+01
426943 39417.398438 9933.772461 55603.789062 -87.016357 -237.250061 -129.405731 26.928024 -9.846877e+00
426944 39335.183594 10011.582031 55495.320312 -183.283081 -164.041656 -11.789298 17.897223 1.000000e+37
426945 39507.945312 9921.575195 55548.093750 -30.546848 -73.071442 -124.693382 23.717552 1.000000e+37
426946 39499.761719 9890.072266 55765.734375 -245.257431 -124.501152 -158.810318 20.842381 1.000000e+37
426947 39406.843750 9953.711914 55456.644531 -29.770788 -16.154501 10.371607 15.982208 1.000000e+37
426948 39279.210938 9873.377930 55468.593750 -26.150490 -155.647369 -37.222889 15.288593 1.000000e+37
426949 39351.351562 10031.000000 55643.652344 -49.582325 -301.132843 -138.927521 16.394121 1.000000e+37
426950 39386.890625 9981.520508 55770.480469 -140.035553 -92.721832 -261.571320 14.787670 -1.225371e+01
426951 39421.003906 9876.584961 55802.207031 -169.923904 -235.814041 -162.155548 18.359501 1.000000e+37
426952 39246.832031 9920.042969 55803.160156 -149.763138 -187.627075 -112.150337 14.535284 1.000000e+37
426953 39457.285156 10138.733398 55627.621094 -218.191574 -206.541565 -68.946182 14.222349 1.000000e+37
426954 39401.558594 10039.233398 55674.640625 -16.731771 -144.959747 -169.387848 11.319579 -1.198397e+01
426955 39363.957031 9979.632812 55567.453125 6.020464 -178.975647 -79.915489 17.532959 1.000000e+37
426956 39422.207031 9965.778320 55647.375000 -97.147881 -292.450684 -34.228458 17.650888 1.000000e+37
426957 39330.003906 10000.747070 55743.707031 -156.532471 -240.339493 -125.398216 17.369558 1.000000e+37
426958 39400.925781 9919.910156 55733.597656 86.806831 -188.128647 -60.813465 15.070388 1.000000e+37
426959 39502.445312 9765.715820 55804.222656 -30.408346 -134.992767 -40.759514 14.657418 1.000000e+37
426960 39421.253906 9919.063477 55934.449219 -125.333000 -63.764217 -114.453575 17.061708 1.000000e+37
426961 39379.093750 9933.875000 55732.082031 -112.242340 -57.095253 -351.315094 14.793075 1.000000e+37
426962 39384.652344 9926.170898 55652.468750 -79.172150 30.688719 -194.491806 16.626474 -8.884422e+00
426963 39253.636719 9830.373047 55507.898438 -187.205521 -72.571968 -0.959295 15.246466 1.000000e+37
426964 39345.574219 9990.754883 55715.843750 -103.439232 32.041832 -104.550850 17.401468 1.000000e+37
426965 39340.636719 9898.658203 55741.656250 -32.252621 -119.622574 -305.796722 12.035762 1.000000e+37
426966 39477.761719 10023.841797 55603.292969 -79.833076 -9.495461 -104.886581 13.253661 1.000000e+37
426967 39423.464844 9916.551758 55719.406250 13.051143 -182.124878 -294.346466 14.148669 1.000000e+37
426968 39309.929688 10033.673828 55909.230469 -205.042908 -157.105057 -44.808590 10.416297 1.000000e+37
426969 39413.636719 10048.102539 55779.488281 106.426537 -147.246964 -75.727898 12.400859 1.000000e+37
426970 39410.886719 9900.337891 55586.656250 12.525352 -131.121735 -91.516670 10.375666 1.000000e+37
426971 39503.062500 10059.587891 55710.828125 -119.968323 -292.062225 -103.795265 10.564107 1.000000e+37
426972 39276.687500 10053.778320 55633.867188 -43.566250 -4.821649 -51.825157 10.008739 1.000000e+37
426973 39509.347656 9929.766602 55757.542969 -174.275925 -180.669128 -167.874313 13.268636 1.000000e+37
426974 39447.718750 9970.578125 55497.125000 -45.360050 -27.015564 29.404829 8.909861 1.000000e+37
426975 39163.949219 9701.924805 55502.042969 51.295502 -5.079945 -48.615993 9.926620 1.000000e+37
426976 39374.281250 10123.275391 55673.398438 -119.883957 -35.751190 -117.938873 9.238061 1.000000e+37
426977 39450.042969 10078.526367 55719.277344 -69.396202 -65.033363 63.133522 10.084260 1.000000e+37
426978 39377.261719 10024.258789 55575.000000 -66.195007 -41.487366 -189.107483 8.820842 1.000000e+37
426979 39529.828125 10071.462891 55718.578125 -105.382378 -278.570984 -108.784096 8.748994 1.000000e+37
426980 39464.417969 10076.189453 55675.832031 -108.390266 3.251513 -212.946869 9.370023 1.000000e+37
