#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
355207 20613.273438 46341.019531 68176.046875 -275.133240 -21.739799 -255.867950 93.126396 -1.857077e+01
355228 20553.728516 46391.585938 68240.921875 -177.252686 19.911232 -123.386734 17.643448 1.000000e+37
355229 20657.783203 46279.441406 68197.437500 -282.496277 3.067296 -257.289948 23.958084 -8.581353e+00
355249 20715.968750 46133.316406 67999.226562 -207.229294 310.640198 -152.872955 12.067420 1.000000e+37
355282 20659.107422 46325.371094 68053.851562 -225.049438 16.195667 -222.593857 10.656692 1.000000e+37
355295 20638.087891 46319.578125 68179.781250 -227.677521 127.580437 -119.641907 11.872654 1.000000e+37
375172 18089.662109 47190.109375 68114.468750 -343.194550 362.115234 -81.178322 49.995338 -1.409589e+01
375173 17988.398438 47071.566406 68116.226562 -237.294098 359.432739 -333.976807 50.834499 -1.506758e+01
375175 18097.771484 47121.839844 68027.992188 -31.125589 169.661331 -59.116924 42.947567 -1.375409e+01
375176 17930.369141 47020.410156 68114.273438 -84.201195 248.867813 -331.504303 32.368046 -1.362167e+01
375177 17843.992188 47002.519531 68094.492188 -117.066689 392.726440 -50.649960 27.119884 1.000000e+37
375178 17997.511719 47007.363281 67974.453125 -215.634430 -34.991844 -152.124527 23.811237 -8.992016e+00
375182 17985.480469 47069.640625 68054.914062 133.263031 86.232574 -133.410629 28.942150 -8.727804e+00
375184 17888.830078 47054.632812 68236.023438 -260.428467 179.657288 -57.810791 20.118000 1.000000e+37
375186 18082.275391 47028.910156 68179.460938 -237.449722 56.244831 -221.269104 23.490154 1.000000e+37
375188 18230.591797 47145.226562 68125.210938 -108.464409 267.474701 -268.030518 18.106693 1.000000e+37
375199 18011.324219 46961.054688 68188.062500 -191.675766 398.880554 -137.935608 17.498878 1.000000e+37
375204 18113.273438 47097.585938 68071.226562 -152.437592 302.982056 -268.246765 17.657139 1.000000e+37
375210 17786.128906 47067.152344 68212.875000 -123.482445 82.870697 -279.844604 15.265434 1.000000e+37
375216 18075.910156 47171.582031 68112.562500 -344.036926 386.271271 -33.153572 14.569224 1.000000e+37
375217 17933.517578 47020.562500 68157.109375 -88.465477 182.291702 23.017370 12.130063 1.000000e+37
375218 17965.462891 47097.781250 68231.757812 -19.625023 12.920197 -230.512375 10.984888 1.000000e+37
375221 18080.628906 46921.609375 68057.812500 -164.213791 370.412354 -52.926464 8.035086 1.000000e+37
375224 18034.240234 46929.996094 68022.554688 -154.229599 52.043945 -133.341721 11.357769 1.000000e+37
375226 18019.718750 47121.960938 68192.765625 -209.363586 -28.055378 -73.666618 10.619864 1.000000e+37
375227 18161.437500 47191.140625 68126.062500 -304.251129 362.186249 -68.807480 12.936831 1.000000e+37
375231 17966.652344 46979.980469 68248.835938 -133.616989 197.705887 -33.465843 7.802464 1.000000e+37
375236 17851.986328 47020.195312 68239.007812 -238.416794 131.784500 -69.922493 6.624961 1.000000e+37
375237 17924.781250 47033.617188 68135.750000 30.018190 138.067032 -70.693626 12.906560 1.000000e+37
375238 17895.644531 47012.546875 68054.195312 -93.476669 111.231483 35.874947 8.670426 1.000000e+37
375240 18098.171875 46910.820312 68016.695312 -178.398087 346.833282 -36.581894 9.837498 1.000000e+37
375243 18086.353516 46955.507812 68040.625000 -176.445282 197.521225 -248.712051 11.620522 1.000000e+37
375246 18186.269531 47172.351562 68081.375000 -285.472076 301.533173 -18.168453 9.441471 1.000000e+37
375247 17887.404297 47003.480469 68277.101562 -151.430573 389.943146 -178.503098 7.940027 1.000000e+37
375249 17924.335938 47072.625000 68205.632812 -253.875534 219.069946 -12.008456 7.533710 1.000000e+37
375258 18023.308594 46923.917969 68005.187500 -27.712408 149.504868 -299.124420 10.265179 1.000000e+37
375259 18091.285156 46883.425781 68058.734375 -165.716187 356.796417 -60.983158 7.916984 1.000000e+37
375260 18000.136719 47065.667969 68134.148438 -276.203491 324.786530 -334.829590 9.751810 1.000000e+37
375261 18020.869141 47212.484375 68158.414062 27.303017 267.348999 -203.724197 8.628254 1.000000e+37
375264 18142.886719 47243.531250 68129.375000 -182.454865 1.186922 -375.091675 7.351777 1.000000e+37
397847 20188.773438 46172.000000 68461.257812 -244.227173 132.631241 -198.440796 256.818756 -2.177582e+01
397848 20013.457031 46086.613281 68531.070312 -375.386871 203.701477 -123.519463 59.009651 -1.562002e+01
397849 20178.884766 46219.554688 68397.187500 -461.675385 104.432465 -182.144058 56.559715 -1.631070e+01
397850 20351.927734 46045.953125 68297.843750 -306.173767 109.856827 -228.135803 44.417953 -1.466390e+01
397851 20123.689453 46012.644531 68347.882812 -214.078903 188.274200 -217.695312 34.557865 -1.222268e+01
397852 20219.654297 46335.117188 68658.585938 -347.730103 41.624493 -332.773834 27.679182 -1.012248e+01
397853 20285.773438 46060.417969 68226.007812 -318.310944 155.367279 -206.335220 31.604425 -1.042216e+01
397854 20133.146484 46166.292969 68570.429688 -321.210632 140.264969 -190.741928 25.013508 -1.422730e+01
397855 20182.158203 46032.085938 68458.578125 -395.595032 174.585083 -57.648540 26.270388 1.000000e+37
397856 20299.087891 46110.777344 68293.601562 -110.398529 188.442505 -95.807327 24.559538 1.000000e+37
397857 19937.830078 46158.761719 68586.460938 -210.025406 243.464279 -183.448792 22.373478 1.000000e+37
397858 20160.812500 46195.406250 68323.804688 -187.981216 238.645233 -280.909546 26.955420 -1.134503e+01
397859 20186.525391 46155.363281 68541.773438 -324.448212 114.642235 18.329727 20.373533 -1.196379e+01
397860 20040.632812 46100.925781 68508.796875 -190.772583 20.917137 -190.220871 24.963903 -9.431430e+00
397861 20251.289062 46313.781250 68650.718750 -339.850220 53.039654 -358.885437 18.410795 1.000000e+37
397862 20322.617188 46126.664062 68506.695312 -304.736359 113.601562 -339.298950 20.469713 1.000000e+37
397863 20091.642578 46208.121094 68591.429688 -216.825775 118.503876 -391.785400 18.764910 1.000000e+37
397864 20317.562500 46088.945312 68332.656250 -345.951080 139.113449 -221.438766 20.283421 1.000000e+37
397865 20045.164062 46148.480469 68404.640625 -336.297150 176.317825 -368.725830 15.682015 1.000000e+37
397866 20123.980469 46109.796875 68550.320312 -354.990662 144.218216 -235.302414 15.468709 1.000000e+37
397867 20055.511719 46147.097656 68639.664062 -162.109482 182.019150 -288.932922 15.187691 1.000000e+37
397868 20419.617188 46031.035156 68353.507812 -174.808517 180.540695 -129.344818 13.359024 1.000000e+37
397869 20248.699219 46187.820312 68621.992188 -220.980164 61.618248 -278.297455 14.775709 1.000000e+37
397870 20377.460938 46136.421875 68530.679688 -347.167755 62.592846 -160.120667 10.956180 1.000000e+37
397871 20210.900391 46164.781250 68715.906250 -180.329651 82.062492 -174.910583 12.298003 1.000000e+37
397872 20034.107422 46167.230469 68713.265625 -165.633759 151.172638 -240.120087 6.802486 1.000000e+37
397873 20216.599609 46187.109375 68572.585938 -136.639679 159.872253 -370.883301 10.441313 1.000000e+37
397874 20018.730469 46142.320312 68647.492188 -158.332764 173.608139 -250.397400 12.700982 1.000000e+37
397875 20284.855469 46099.562500 68343.296875 -344.308929 154.520737 -198.089249 12.992656 -9.007634e+00
397876 20021.162109 46093.476562 68475.734375 -215.591675 86.723839 -141.297546 13.314871 1.000000e+37
397877 20285.929688 46129.261719 68528.601562 -176.995804 -30.172209 -104.240105 9.781250 1.000000e+37
397878 20121.425781 46115.226562 68672.742188 -169.706055 245.134842 -255.928009 7.704919 1.000000e+37
397879 20115.117188 46080.773438 68392.796875 -364.036163 110.311653 -0.342365 7.328343 1.000000e+37
397880 20176.162109 46115.035156 68644.750000 -150.212723 160.872147 -315.489166 10.475200 1.000000e+37
397881 20181.076172 46038.191406 68296.335938 -251.311417 118.112358 -58.183460 10.104773 1.000000e+37
397882 20154.804688 46119.562500 68358.875000 -171.259247 244.924973 -126.878052 8.881421 1.000000e+37
397883 20194.859375 46193.011719 68378.195312 -226.151581 340.378784 -19.200754 11.503645 1.000000e+37
397884 20104.347656 46156.417969 68294.250000 -236.976624 -17.151953 -346.108368 9.213655 1.000000e+37
397885 20245.974609 46312.484375 68620.132812 -369.108429 154.224274 -170.737274 9.732536 1.000000e+37
397886 20164.591797 46319.757812 68346.117188 -395.696960 170.774841 -223.208008 9.255136 1.000000e+37
397887 20254.138672 46189.097656 68384.257812 -244.831329 321.505646 -71.093399 10.709524 1.000000e+37
397888 20023.126953 46139.687500 68303.882812 -135.556152 45.945396 -313.329742 7.519715 1.000000e+37
408381 19011.386719 45536.035156 71082.000000 -274.549683 120.560738 -194.034103 207.530563 -2.224401e+01
408382 18711.072266 45590.050781 71049.468750 -318.410675 16.580860 -145.944641 66.472130 -1.659840e+01
408383 19120.414062 45583.253906 71088.460938 -314.791229 209.645599 -305.697876 45.462040 -1.350425e+01
408384 19009.121094 45541.781250 71088.812500 -109.549248 62.554771 -122.433372 41.885132 -1.829636e+01
408385 19190.912109 45657.074219 71037.812500 -372.650665 95.792076 -97.122322 29.926918 -9.075551e+00
408386 18989.984375 45534.382812 71115.257812 -189.906174 128.820740 -256.556702 22.889471 -1.541942e+01
408387 18911.705078 45383.476562 71094.710938 -162.417191 106.572350 -300.808411 24.856270 1.000000e+37
408388 18650.275391 45662.042969 71022.445312 -241.936584 57.091984 -236.841415 20.533091 1.000000e+37
408389 18972.494141 45506.128906 71111.734375 -449.803467 175.253204 -313.208954 32.471424 -1.278717e+01
408390 18662.847656 45624.972656 70988.476562 -228.416641 56.192280 -201.869843 20.287979 1.000000e+37
408391 18979.800781 45497.734375 71100.976562 -255.859024 217.091232 -248.290466 19.156103 -1.284420e+01
408392 18851.210938 45511.347656 71079.585938 -411.039825 124.216118 -252.109299 19.517038 1.000000e+37
408393 18890.384766 45525.035156 71000.835938 -239.430069 292.832947 -212.914490 18.846241 1.000000e+37
408394 18751.566406 45599.625000 71007.054688 -250.151672 49.527573 -280.792145 19.846495 1.000000e+37
408395 19220.093750 45692.105469 71004.765625 -366.673859 137.044830 -94.848114 17.969915 1.000000e+37
408396 19100.794922 45612.875000 71174.390625 -431.752380 25.238222 -264.476135 17.872013 1.000000e+37
408397 19033.375000 45568.828125 71075.078125 -292.814545 -11.383616 -142.228073 14.619001 -1.425516e+01
408398 18958.027344 45661.640625 70980.281250 -393.486206 192.205750 -194.437332 17.464058 1.000000e+37
408399 18974.556641 45659.957031 71083.648438 -316.373627 31.314159 -158.414841 21.070690 1.000000e+37
408400 18846.152344 45654.781250 71034.148438 -259.754974 272.296265 -95.692986 12.696108 1.000000e+37
408401 19055.808594 45432.218750 71038.578125 -254.088547 91.249542 -314.111115 13.540913 -1.128430e+01
408402 19037.322266 45555.312500 71077.656250 -359.820709 -34.095097 -171.906815 16.461563 -1.387487e+01
408403 18949.056641 45520.718750 71103.078125 -237.398895 166.680359 -192.996719 12.604149 1.000000e+37
408404 19153.945312 45607.921875 71032.609375 -342.663452 -1.258199 -107.772545 15.769916 1.000000e+37
408405 18912.511719 45389.988281 71117.718750 -175.000259 112.419624 -308.645966 15.181079 1.000000e+37
408406 19028.503906 45456.097656 71031.039062 -153.228455 240.334442 -317.050110 14.878025 1.000000e+37
408407 18963.916016 45526.621094 71106.093750 -283.906158 171.017792 -77.320335 12.261522 -1.211635e+01
408408 19114.443359 45589.847656 71046.187500 -367.750183 -20.578012 -102.788200 14.373690 1.000000e+37
408409 19010.943359 45500.695312 71107.226562 -286.900360 212.960709 -302.833130 12.557536 1.000000e+37
408410 18904.585938 45440.531250 71148.679688 -241.402939 202.732040 -37.945171 14.792334 1.000000e+37
408411 19061.861328 45707.429688 71141.359375 -387.073273 176.410751 -234.713882 12.707353 1.000000e+37
408412 18965.208984 45561.332031 70971.992188 -321.326141 249.791656 -67.158600 14.141257 1.000000e+37
408413 19069.898438 45511.156250 71178.304688 -317.164154 243.877167 -59.674679 15.214740 1.000000e+37
408414 18764.988281 45627.910156 70973.531250 -194.538498 46.773815 -193.565979 12.050897 1.000000e+37
408415 18988.414062 45446.820312 71079.945312 -371.242615 168.810959 -384.526520 13.256078 1.000000e+37
408416 18994.222656 45486.027344 71003.125000 -264.421570 158.155930 -45.630024 14.784000 1.000000e+37
408417 18854.607422 45454.324219 70930.031250 -237.194168 138.165283 -327.433167 8.998655 1.000000e+37
408418 18939.251953 45580.886719 71137.921875 -394.600800 80.255707 -156.762970 12.831623 1.000000e+37
408419 18657.476562 45601.308594 71064.140625 -374.076324 -23.699871 -186.367294 13.072829 1.000000e+37
408420 19086.175781 45546.539062 71056.250000 -249.517670 273.568634 -202.373093 14.107850 1.000000e+37
408421 18924.984375 45583.425781 71108.867188 -115.891388 119.907440 -333.654144 11.943166 1.000000e+37
408422 19115.439453 45637.148438 70998.718750 -370.168945 19.773956 -80.680595 12.794750 1.000000e+37
408423 19103.646484 45563.414062 71075.882812 -336.156250 16.649599 -60.381077 11.215150 1.000000e+37
408424 19000.687500 45652.558594 71020.171875 -123.771416 202.357986 -171.416138 11.986645 1.000000e+37
408425 18954.158203 45587.667969 70924.406250 -405.429718 159.105728 -269.645538 8.649393 1.000000e+37
408426 19007.427734 45507.203125 71118.656250 -477.630768 45.175209 -431.485748 14.213032 1.000000e+37
408427 19017.361328 45581.839844 71130.109375 -294.544189 -112.529984 -141.460480 10.420849 1.000000e+37
408428 19103.146484 45639.519531 70963.953125 -247.983688 102.898941 -83.291153 9.701578 1.000000e+37
408429 19106.363281 45438.332031 71161.429688 -269.689026 274.413757 -284.111633 7.886778 1.000000e+37
408430 19124.083984 45619.003906 71049.937500 -304.308044 66.233536 -56.736820 10.702002 1.000000e+37
408431 19025.857422 45549.636719 71065.117188 -556.501831 55.647324 -358.421326 15.231934 1.000000e+37
408432 19105.406250 45590.109375 70992.492188 -286.767731 278.644623 -201.325638 9.083886 1.000000e+37
408433 19010.412109 45614.062500 71181.023438 -446.342194 38.195065 -190.754990 8.325918 1.000000e+37
419089 19288.527344 45791.519531 69527.406250 -257.834351 122.777382 -217.712311 191.814606 -2.109118e+01
419090 19308.312500 45808.464844 69482.046875 -219.335495 217.373047 -38.142952 82.298698 -1.820313e+01
419091 19240.722656 45774.167969 69757.585938 -347.898956 49.873013 -217.866898 61.181694 -1.549276e+01
419092 19455.757812 45750.058594 69496.664062 -303.615234 225.021469 -90.488419 35.648109 -1.036528e+01
419093 19202.714844 45716.160156 69457.562500 -374.108429 142.377396 -119.474960 38.246376 -1.291048e+01
419094 19283.458984 45793.976562 69519.445312 -303.103973 273.699738 -162.878723 31.569828 -1.738698e+01
419095 19370.695312 45891.289062 69560.781250 -288.713898 39.356789 -388.213043 23.534708 1.000000e+37
419096 19292.216797 45874.601562 69631.625000 -443.662811 119.701004 -174.668091 22.428408 1.000000e+37
419097 19321.224609 45676.515625 69610.750000 -288.882874 -35.908684 -240.258438 21.656937 -8.741872e+00
419098 19207.074219 45662.894531 69586.953125 -263.076294 -28.219706 -230.390869 22.331202 1.000000e+37
419099 19279.304688 45871.515625 69679.960938 -123.252144 121.880119 -280.970154 20.673025 1.000000e+37
419100 19250.875000 45869.421875 69624.875000 -427.366516 80.815681 -220.146805 16.705225 1.000000e+37
419101 19282.871094 45719.710938 69447.906250 -80.978790 67.328560 -273.743073 15.003992 1.000000e+37
419102 19199.773438 45786.425781 69477.953125 -119.357071 0.709692 -303.279510 17.550035 1.000000e+37
419103 19248.857422 45712.742188 69532.578125 -224.653351 27.175074 -388.407990 18.475521 1.000000e+37
419104 19149.982422 45649.156250 69444.820312 -346.792297 56.623878 -200.393417 21.121973 1.000000e+37
419105 19405.142578 45961.617188 69525.843750 -332.654510 88.574638 -130.002686 15.182884 1.000000e+37
419106 19225.476562 45798.136719 69448.343750 -187.438400 217.563904 -336.485535 15.473059 -8.887022e+00
419107 19325.503906 45891.886719 69431.226562 -265.277527 137.763412 -114.033974 17.601742 1.000000e+37
419108 19353.800781 45739.531250 69596.101562 -327.647858 38.395817 -148.511353 18.916412 -8.469198e+00
419109 19324.150391 45852.031250 69562.648438 -330.921967 -8.061318 -129.021820 16.257135 1.000000e+37
419110 19234.253906 45950.976562 69608.601562 -151.357208 70.071457 -254.318802 15.507090 1.000000e+37
419111 19227.986328 45708.214844 69378.054688 -114.124260 209.990219 -231.945923 14.422361 1.000000e+37
419112 19143.046875 45744.917969 69484.304688 -262.709686 6.155341 -144.047653 15.600884 1.000000e+37
419113 19341.464844 45781.164062 69546.906250 -403.253387 319.912598 -85.010689 13.653926 1.000000e+37
419114 19258.800781 45843.027344 69550.718750 -432.517914 -0.186980 -97.847404 13.612627 1.000000e+37
419115 19321.048828 45834.968750 69497.953125 -312.570740 234.895950 -415.873444 13.426618 1.000000e+37
419116 19252.851562 45881.679688 69664.804688 -410.771362 149.396790 -248.466263 13.176230 1.000000e+37
419117 19134.466797 45783.371094 69573.070312 -345.525238 32.838657 -283.796143 11.547015 1.000000e+37
419118 19191.703125 45875.089844 69650.585938 -385.760223 23.044500 -231.812668 10.348669 1.000000e+37
419119 19223.884766 45896.320312 69704.750000 -166.638428 142.307220 -219.726349 8.273733 1.000000e+37
419120 19240.193359 45747.167969 69586.281250 -203.789413 286.037415 -143.883102 13.445210 1.000000e+37
419121 19386.009766 45838.640625 69559.468750 -267.607635 -14.022788 -346.558655 11.278319 1.000000e+37
419122 19237.529297 45787.628906 69590.335938 -312.719330 25.095568 -272.312866 13.456841 1.000000e+37
419123 19210.712891 45840.976562 69446.914062 -211.509064 219.622894 -274.115173 11.984486 1.000000e+37
419124 19312.646484 45755.289062 69605.289062 -117.787163 252.278259 -168.775604 9.815742 1.000000e+37
419125 19244.119141 45703.894531 69437.164062 -386.560150 88.867180 -294.432007 10.654441 1.000000e+37
419126 19278.033203 45614.140625 69406.125000 -367.335938 54.312576 -197.163940 12.634068 1.000000e+37
419127 19201.136719 45917.988281 69691.640625 -355.163116 14.430419 -221.657837 9.432377 1.000000e+37
419128 19208.451172 45620.625000 69594.523438 -241.556061 39.354591 -289.878204 10.379346 1.000000e+37
419129 19224.763672 45621.304688 69606.804688 -233.118179 47.825977 -292.547913 11.348236 1.000000e+37
419130 19242.867188 45808.570312 69572.062500 -402.665100 105.649033 -293.739838 11.225766 1.000000e+37
419131 19380.048828 45809.132812 69581.437500 -305.451202 -60.100060 -121.076492 11.619026 1.000000e+37
419132 19167.490234 45766.195312 69502.000000 -312.204987 133.695389 -146.237595 11.671834 1.000000e+37
419133 19175.501953 45657.011719 69383.664062 -262.943146 92.111336 -291.245361 8.362171 1.000000e+37
419134 19151.550781 45748.843750 69605.789062 -228.458115 34.490681 -137.882095 9.901842 1.000000e+37
419135 19263.705078 45776.164062 69615.078125 -218.332489 -87.976486 -128.189117 9.497408 1.000000e+37
419136 19140.388672 45749.824219 69591.531250 -326.788818 -2.865920 -289.834534 9.070317 1.000000e+37
419137 19111.378906 45671.156250 69469.695312 -44.489334 168.111115 -204.879745 8.375196 1.000000e+37
436546 18755.919922 44234.332031 68877.617188 -163.977280 130.959488 -170.515167 162.865524 -2.033595e+01
436547 18663.011719 44146.871094 68914.773438 -92.075600 274.598511 -244.624283 94.457741 -1.851951e+01
436548 18942.779297 44308.550781 68962.328125 -257.475830 213.951767 -259.196564 70.629570 -1.703722e+01
436549 18728.498047 44415.160156 68876.070312 -38.997017 198.544693 -199.955215 57.091446 -1.582711e+01
436550 18819.482422 44182.367188 68934.156250 -300.971619 149.275696 -186.229355 40.641308 -1.222089e+01
436551 18804.876953 44292.207031 68907.117188 -102.278702 90.140488 -315.294464 34.119930 -1.195312e+01
436552 18639.128906 44028.929688 68913.414062 -60.195545 232.744324 -296.995483 21.714134 1.000000e+37
436553 18775.888672 44195.937500 68959.312500 -289.850464 153.430771 -222.648453 25.665075 -9.759732e+00
436554 18670.759766 44328.835938 68821.898438 -128.634064 -15.006602 -213.460938 19.364645 1.000000e+37
436555 18882.285156 44267.914062 68888.070312 18.048758 186.438950 -305.205566 17.297737 1.000000e+37
436556 18782.595703 44273.878906 68830.257812 -134.020218 53.515602 -54.158859 21.163843 -1.091652e+01
436557 18623.712891 44066.738281 68987.101562 -102.068863 168.204575 -314.072906 15.719079 1.000000e+37
436558 18891.250000 44183.441406 68862.679688 -258.949463 149.248062 -180.156921 21.018772 1.000000e+37
436559 18814.201172 44084.523438 68856.820312 -100.827827 69.796753 -107.685982 16.889200 1.000000e+37
436560 18768.451172 44172.386719 68864.218750 -70.064957 12.593582 -201.751160 19.810951 -1.033535e+01
436561 18928.085938 44310.035156 68971.101562 -223.215164 196.665344 -330.089600 13.982191 1.000000e+37
436562 18771.097656 44142.789062 68849.984375 -290.963562 209.779709 -217.304321 17.016842 1.000000e+37
