#X(10*Mpc)   Y(10*Mpc)  Z(10*Mpc)  Potencial
20.79121969  30.3991119  25.17123201  4.83088799941e+24
15.68305984  33.11720887  29.80833435  2.66173121066e+24
22.11314981  29.31663391  27.42084317  2.6033942693e+24
19.9838368  32.1277343  29.02228457  3.39677649336e+24
21.17526386  33.72779596  37.17894564  3.30555017003e+24
20.22567639  30.74945856  26.73007939  3.51246995741e+24
25.14269062  37.85386456  32.74054088  2.31185004178e+24
21.30035662  30.9861132  31.42071766  2.5544142404e+24
20.29319915  29.44608801  26.56492556  3.79209192546e+24
21.19053756  33.89804153  36.48156505  2.6225070749e+24
20.5530291  34.7829498  28.19297936  2.70532021518e+24
33.24834382  39.51351155  15.22283779  1.33680246786e+27
20.16241018  29.82510309  38.40293994  2.31446188266e+24
17.29309338  32.70000675  28.18897893  2.70583747189e+24
20.18888009  33.30470369  38.74374248  2.73057212177e+24
19.55520773  32.01642833  28.0946906  2.78654403128e+24
17.20620645  34.48792629  27.39076497  5.3524699663e+24
21.79550836  31.9082366  34.57041163  2.37840236153e+24
21.60968538  32.49874039  30.9870726  2.51668618006e+24
18.22630365  33.91991456  37.38407493  2.22286448431e+24
21.99069224  32.55828781  32.52088579  2.52369151737e+24
20.2199249  31.93064883  30.41526398  2.50824365028e+24
21.6354043  32.08709915  33.46271246  2.47585175735e+24
21.30528721  33.59375513  37.35554061  3.58344008606e+24
16.54279522  33.61122613  28.35696076  3.03113180755e+24
21.58762923  33.97915794  37.41482814  2.64277969512e+24
21.61764575  40.87707287  14.65944714  1.34105163881e+27
18.20556655  36.88813282  28.63109694  2.48503374941e+24
19.73464392  37.09943732  26.2771684  1.57997858085e+25
24.05516614  34.6337366  30.09737171  2.23953055864e+24
18.61346  33.01594967  27.72133667  2.67569083275e+24
16.71887562  32.78903251  29.37122533  2.40184461149e+24
21.62730992  34.44259237  28.70876195  2.41513013549e+24
20.41822143  35.97201903  27.12124955  2.44515178894e+24
19.78511819  30.40873037  26.30053842  5.21342476339e+24
2.29153638  6.33771215  61.59933452  6.42747103554e+26
24.56593358  35.09664625  30.03942961  2.14012153126e+24
19.64712227  31.29212208  27.34730376  2.58882931184e+24
20.36259968  28.13069426  31.17557126  2.10946907914e+24
21.12585445  33.93364375  28.90887241  2.33944091878e+24
19.94755188  32.99788086  28.91334023  2.46949786822e+24
22.30643168  32.88879176  36.78963033  2.10377770925e+24
21.59388815  33.9486762  37.0214185  2.30348819118e+24
17.7877061  31.77514137  29.37027979  2.21275174822e+24
22.44873878  32.40818851  30.57740956  2.1843677599e+24
21.62805757  28.6865756  35.32906546  1.89939562711e+24
6.40575241  30.90409725  46.19799524  1.12377408108e+27
16.96579192  33.60389757  32.4502188  2.00888594784e+24
26.46969397  27.97151601  30.63432459  2.23434588403e+24
16.80361388  32.18528498  38.09071637  5.32378694434e+24
18.55566585  27.9437169  35.27395729  1.77585405523e+24
20.49962841  30.0941862  29.66907708  2.16083554904e+24
22.49053363  34.04813635  28.69849593  2.08169157538e+24
18.29053196  29.11838511  30.73862844  1.87412670186e+24
20.20372588  31.39519495  26.14720503  7.58276271042e+24
18.7843987  29.08201056  35.98372015  1.76349593119e+24
19.58587108  32.09889379  27.74400399  2.23804245602e+24
17.04732175  33.32965708  28.7457542  2.37437846463e+24
18.7924588  32.9113072  28.42485879  2.18687799886e+24
20.1597184  31.51169278  28.84631875  2.17972126375e+24
16.93432693  32.25450003  34.04434593  1.77402149105e+24
20.54716376  43.2602621  31.50801808  8.95592599487e+26
