#OK
#SQL= select fofId, m_crit200, cmx, cmy, cmz, cvx, cvy, cvz
#	from MillenniumII..FOF 
#	where SnapNum=67
#	and mass>50.0
#	and mass<500.0
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2015-04-01 22:30:32.184 CEST
#QUERYTIME 101068 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=m_crit200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=cmx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=cmy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=cmz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=cvx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=cvy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=cvz JDBC_TYPE=7 JDBC_TYPENAME=real
fofId,m_crit200,cmx,cmy,cmz,cvx,cvy,cvz
670000000843,206.28427,36.31146,33.317787,36.149548,-65.38908,43.426163,151.97139
670000000844,386.18286,16.880201,25.696104,64.4586,77.114746,-62.64093,92.54365
670000000845,382.18048,63.52824,75.18856,57.8101,-400.98062,311.63766,84.209915
670000000846,301.39233,23.220697,39.598804,50.82275,300.96246,-29.323708,-52.910805
670000000847,363.0794,62.462883,89.87218,96.52798,-137.08315,41.271053,-150.66978
670000000848,366.28723,10.081414,70.64789,45.281643,254.79942,38.865726,102.41316
670000000849,295.6459,90.33297,22.295118,61.70588,-237.60277,-314.46817,153.3465
670000000850,294.07812,86.567184,59.59734,88.359184,-10.438586,48.283085,-136.20224
670000000851,349.12436,84.09667,44.606773,6.2863464,13.797019,122.44328,-144.66368
670000000852,407.09338,17.668697,21.663626,4.696215,208.11354,53.77131,-292.50815
670000000853,375.27798,5.9574213,63.910122,13.606843,348.01785,179.29375,-134.12756
670000000854,344.25787,5.33193,67.67416,90.03266,338.34848,194.56366,-46.026848
670000000855,385.91916,40.305233,10.9049015,35.2025,-166.21046,-337.2058,-0.15913405
670000000856,377.00345,92.52488,32.539692,23.581165,73.14893,11.383967,36.99401
670000000857,369.17422,8.468135,44.65806,18.163883,249.77353,25.867994,5.072804
670000000858,339.93048,8.905232,98.98332,9.567984,443.4596,-85.78544,0.14251281
670000000859,285.55902,41.159195,17.501625,41.57589,124.061775,-74.30302,118.85723
670000000860,300.25766,36.965355,60.840706,74.89565,192.55333,190.7821,-134.26729
670000000861,289.5022,39.478596,1.653519,46.971176,165.34077,-259.98026,285.7946
670000000862,209.16231,60.471813,12.766889,59.992744,-155.69455,-65.36858,473.1653
670000000863,249.67583,36.658367,84.79674,80.14804,-82.82989,-217.4481,-442.9873
670000000864,357.51266,21.985323,2.3188875,34.816563,356.69922,-129.35924,98.68629
670000000865,336.4197,53.01584,39.869606,69.69665,159.18857,-235.03352,63.882698
670000000866,379.06833,74.4247,84.59997,99.54195,5.0485654,71.28832,45.286293
670000000867,382.1488,16.180775,71.91409,13.270505,-33.357346,-160.5218,-274.5238
670000000868,386.05273,84.16017,98.19914,89.73764,-88.39738,10.814412,-79.769226
670000000869,208.50545,37.880974,68.19759,33.459248,43.139477,204.29393,110.96799
670000000870,316.73544,30.809542,86.98884,13.842467,78.30581,-104.077736,96.71721
670000000871,362.5279,53.91319,46.93002,68.85537,13.138378,-471.59546,180.46622
670000000872,309.2381,55.369984,39.15808,66.26632,-299.78735,-79.573814,351.68277
670000000873,340.7457,6.5242023,65.75594,11.522424,369.53574,225.91238,-131.94412
670000000874,292.72037,39.51868,52.57681,3.818837,-145.45097,-59.720978,-179.95923
670000000875,346.8426,13.1815195,93.87195,46.663063,270.05322,419.752,210.14984
670000000876,348.14114,35.479267,94.55726,34.42826,336.10464,-21.604458,149.90405
670000000877,345.86353,26.405413,93.74001,58.739418,240.69215,-144.24428,55.704666
670000000878,348.5639,64.2117,8.52234,91.25468,-262.3797,36.689873,-369.30432
670000000879,393.4427,45.95975,22.430931,26.28973,-327.59314,-191.43599,39.40294
670000000880,288.40744,29.860973,2.5256221,71.25172,196.16284,-45.831104,-273.87524
670000000881,190.22372,71.245575,21.86676,78.85352,-466.98483,-293.24683,-725.0797
670000000882,383.89764,62.609802,44.80717,69.06589,-435.91934,-355.65576,-350.06485
670000000883,217.65114,4.6291237,77.0729,83.227615,324.24402,-116.1783,-19.536161
670000000884,299.89893,75.74856,34.75026,84.87855,-320.9813,85.056206,-267.83127
670000000885,385.30292,91.58028,64.865074,26.34411,87.22599,-18.037323,-32.670773
670000000886,344.75497,14.363525,46.36962,70.27084,217.43327,-118.0843,124.13982
670000000887,331.4258,27.577686,36.956703,28.034693,391.76273,227.37683,26.726921
670000000888,393.75046,58.80993,98.674675,60.72309,-192.78957,143.55157,45.248615
670000000889,257.65515,37.84737,24.33891,72.90449,421.4469,-128.65921,60.862503
670000000890,168.99649,9.170869,38.86404,90.81236,217.7151,68.06607,-123.966324
670000000891,297.40027,61.63695,37.178337,73.93839,-401.29517,-116.63005,-138.9384
670000000892,354.04388,12.631738,44.18288,40.24388,371.86026,-242.92743,169.16937
670000000893,297.35345,36.70076,21.064417,32.138096,206.40303,-99.9942,-28.363453
670000000894,374.35126,39.283054,54.644417,19.772928,-277.57028,15.867834,39.158897
670000000895,341.88934,85.57285,52.39233,13.678191,64.8547,25.623447,-170.53317
670000000896,138.58432,28.840479,93.928764,30.570166,413.2499,18.308481,148.23055
670000000897,358.6756,95.05475,93.93218,56.83295,199.99066,258.4692,92.633385
670000000898,200.61151,80.558014,79.36717,52.842472,-186.91246,126.93595,234.21468
670000000899,381.58972,35.614716,29.87589,48.66217,341.8296,-9.247342,13.469872
670000000900,331.72464,66.54815,90.17718,53.573696,-294.7644,57.887222,367.23663
670000000901,381.81003,41.077873,3.5929306,38.341637,131.94545,-236.17102,-192.36346
670000000902,348.02,46.622166,54.372288,99.697205,-407.55286,95.627785,-170.13715
670000000903,367.35928,32.1928,4.359007,29.19737,439.09427,-129.24814,-250.36504
670000000904,347.9835,48.36438,80.53362,10.277573,-102.07472,-31.19864,182.57733
670000000905,282.50473,50.398685,81.83388,37.9169,-486.00778,-215.33975,-151.68666
670000000906,205.30312,46.17592,32.23679,68.26743,597.9077,7.311994,183.9704
670000000907,364.34973,34.964054,82.605965,13.359184,-38.416176,-61.53844,200.70882
670000000908,361.9344,22.864725,14.175741,38.240574,287.90952,-86.783104,45.743317
670000000909,351.61133,46.823814,19.188158,73.27939,731.84576,83.246155,184.25676
670000000910,348.79593,30.527569,32.67234,68.394745,222.9516,-39.70204,84.727104
670000000911,318.75143,34.486465,14.246594,32.694824,290.72534,101.5675,-86.32675
670000000912,328.32745,42.0525,28.683989,44.116173,-28.727112,-182.04947,252.3708
670000000913,340.51987,46.377266,56.157974,99.50783,-450.7611,-223.8867,-109.06705
670000000914,351.21747,55.198116,24.729517,51.783836,-272.54395,-149.29156,244.41461
670000000915,306.5019,67.65006,9.299894,64.55606,-218.73676,412.23862,607.7641
670000000916,327.15836,78.51044,23.325542,66.96897,-417.28152,-272.3734,-78.2259
670000000917,341.87695,56.25321,77.601295,78.74586,-385.56775,-78.13305,-161.46375
670000000918,321.2618,90.33246,34.880276,10.266683,-41.66048,-27.928345,24.2444
670000000919,355.09457,80.77251,16.160261,36.43927,-55.587025,-109.665565,360.16107
670000000920,334.30316,26.63602,84.85383,9.137306,21.740364,-147.6224,-46.922695
670000000921,198.40685,39.675327,42.364723,87.4388,251.43022,-15.711459,-138.18735
670000000922,311.26303,40.591377,89.96979,29.473726,152.49472,19.813568,428.9402
670000000923,341.8866,40.525692,27.001337,76.126495,550.4713,-185.68555,29.361168
670000000924,294.13873,14.194535,2.4654803,26.12177,372.21915,-159.73589,-131.02783
670000000925,217.82257,10.592622,98.949486,12.818866,481.41727,-223.97234,20.98335
670000000926,193.41159,98.01863,68.82656,71.69047,102.05164,145.83595,139.10542
670000000927,103.03024,27.641117,95.50704,26.847425,150.9672,156.71107,106.36887
670000000928,346.74207,31.60518,53.485455,46.98808,302.34756,-23.335487,-214.4096
670000000929,338.17957,88.312004,96.94877,25.924128,-10.555189,-72.34583,153.2271
670000000930,176.63705,24.159336,60.352993,15.4257555,296.14108,-164.4357,-95.60964
670000000931,294.3742,43.685642,26.177101,44.442406,-181.00125,-138.75089,366.22675
670000000932,359.71594,66.71032,78.44581,73.684814,-214.94424,220.42477,-182.58083
670000000933,337.61154,43.51431,98.64669,64.59015,-282.31772,135.0181,51.856377
670000000934,250.62048,44.291573,5.5744686,95.086784,84.17253,266.284,-69.88201
670000000935,159.14438,45.123413,7.9118843,11.725263,-464.4399,80.90242,63.555008
670000000936,314.159,87.611755,36.352642,15.580027,53.655197,-52.593636,-185.06714
670000000937,342.07043,33.977654,72.64741,78.52417,180.99658,-39.791435,-329.89075
670000000938,318.7962,90.61829,96.36009,35.18244,16.18806,-50.05912,206.74391
670000000939,296.49005,54.59556,78.98352,26.991255,-318.28854,247.1958,321.31903
670000000940,294.5016,48.096188,74.57357,41.241585,-170.80072,282.61157,3.9087293
670000000941,332.46686,44.485443,17.577826,31.352592,-322.45532,-105.78626,74.66595
670000000942,364.1473,46.438038,62.41665,45.836758,-69.34373,26.713999,188.3203
670000000943,294.80936,30.86404,13.379767,17.471743,245.5996,33.123737,98.26876
670000000944,333.39984,93.38861,29.332047,58.786736,-5.138349,-161.9289,267.62805
670000000945,372.1287,52.53405,72.34065,90.14431,-330.81326,-213.81232,-332.99936
670000000946,305.38373,60.053574,1.648509,84.94042,-214.3457,201.92387,-371.29465
670000000947,326.62888,53.211796,49.006794,32.063114,-338.14984,51.709923,70.94371
670000000948,321.78577,14.342108,64.856384,21.399508,345.18454,50.194942,-212.04286
670000000949,336.78806,40.573227,1.1278455,31.0652,151.21783,64.62713,233.39606
670000000950,325.2525,55.196526,0.56416845,60.44559,-111.21204,94.04439,121.3702
670000000951,341.84528,83.49968,40.20734,84.65365,-345.5294,-33.547703,-167.53847
670000000952,341.83978,7.370246,32.29417,71.24822,144.686,-95.895195,-132.92784
670000000953,335.85855,48.205994,61.115387,56.9268,-411.72626,45.634357,219.5027
670000000954,317.4219,53.694614,0.63817286,76.08773,-133.27225,287.03442,-245.86906
670000000955,313.28662,21.428186,68.81755,31.2763,281.11215,-37.492065,-4.390676
670000000956,341.36813,8.666792,57.419434,11.797639,298.27997,179.80971,-16.594025
670000000957,275.49277,94.001686,51.31482,32.005245,158.29846,-21.328846,18.777838
670000000958,312.66556,31.795296,99.93252,50.4696,289.93045,-272.7055,307.13403
670000000959,313.45325,53.632366,55.51945,55.849884,-265.99384,-120.55731,317.27612
670000000960,323.3611,64.22201,43.24984,66.927086,-461.86404,-515.8286,-364.3482
670000000961,341.35297,87.39229,20.035254,54.644474,4.880311,-127.2204,594.1727
670000000962,350.5021,60.026474,81.54153,43.775173,-412.40494,20.368214,48.859104
670000000963,287.98605,2.747921,75.43337,20.163301,342.4631,115.53364,-169.63643
670000000964,239.15034,30.712893,53.367226,44.876846,305.40067,1.2021325,-345.52463
670000000965,242.19225,17.818886,35.278862,73.7891,285.19244,-67.06641,44.695477
670000000966,302.2055,27.53705,27.581852,53.656395,199.57881,-20.359632,105.88581
670000000967,290.71057,20.16145,54.952347,5.6491404,279.46667,207.30359,36.62824
670000000968,369.6135,85.86046,85.53596,9.468003,-79.41239,120.56619,-59.121006
670000000969,266.54608,27.75492,24.839302,54.81558,181.24886,-19.975857,87.76601
670000000970,207.7281,59.06686,82.856125,40.103397,-414.51965,-138.54672,190.53404
670000000971,283.03625,91.518326,22.901567,70.89414,-210.53635,-233.76619,-272.99518
670000000972,333.6463,41.466675,8.727979,60.700706,22.831924,83.71631,370.3461
670000000973,138.80396,38.7406,25.302155,93.74154,48.636837,97.278046,-420.243
670000000974,284.24393,39.612366,35.44532,62.315273,312.85028,-55.00776,186.16905
670000000975,308.1151,64.61297,19.934544,77.80723,-326.3433,-292.37982,-545.479
670000000976,319.32016,96.52746,68.311134,87.73105,150.64816,169.6845,-252.5003
670000000977,285.53146,54.725677,4.114589,76.8775,3.8825278,231.42822,-258.07928
670000000978,301.27393,99.114815,38.567505,51.060513,-3.1354947,-55.54451,407.54288
670000000979,313.58267,37.744278,69.85911,58.670387,332.53604,348.27673,281.03497
670000000980,249.36392,10.234837,65.37329,36.09775,291.31216,30.735638,-45.3832
670000000981,304.35645,42.88029,31.547108,72.69657,455.57065,-135.06798,25.24455
670000000982,334.907,75.15973,51.344627,57.098244,-225.42618,114.094826,413.5228
670000000983,304.9596,53.010483,54.838425,58.665672,-277.13437,-86.18081,194.65097
670000000984,344.9154,51.99038,13.915591,18.710613,-497.51566,-73.422806,6.20201
670000000985,146.10027,84.49672,78.758545,86.46563,-101.65207,-8.513983,-308.35013
670000000986,161.82893,72.749725,84.991325,76.29257,-71.64251,150.47803,-198.25484
670000000987,275.09344,29.657555,24.286045,29.35416,308.3922,-86.72872,-35.439262
670000000988,317.63397,35.217987,73.59522,64.445885,520.1007,433.1544,298.50467
670000000989,290.93707,22.86219,34.052658,42.015125,203.77286,232.92723,71.22309
670000000990,324.06754,48.785706,7.059646,64.95659,-7.7903414,150.865,240.69568
670000000991,322.21472,29.422314,43.263252,68.03816,240.44586,25.381487,110.02281
670000000992,290.12946,64.927864,47.014072,92.844475,-277.27032,70.66119,-332.0446
670000000993,249.74744,32.449284,4.5194974,71.53885,240.04265,-145.25386,-300.4352
670000000994,252.45403,69.881485,15.542671,72.028854,-529.51666,-257.90585,-1012.14453
670000000995,290.7863,45.137028,60.345436,69.29352,-195.1418,-140.89905,-45.787285
670000000996,312.28412,29.481127,68.194664,72.812386,235.97435,453.17123,74.86661
670000000997,325.11618,42.933357,63.803753,68.06005,-142.44926,121.28933,492.52713
670000000998,185.70149,55.064114,50.03987,61.454884,-239.33998,-50.011322,458.42896
670000000999,322.3304,86.1255,22.920795,64.660866,-245.51962,-243.06714,89.704155
670000001000,335.82617,91.900955,44.59984,54.017292,271.7659,-311.34625,-24.175241
670000001001,261.8235,28.966572,55.153286,60.766987,357.8589,189.24754,81.03239
670000001002,202.37413,16.16526,75.99931,2.4271767,328.1948,52.080074,-234.53323
670000001003,291.02246,42.991188,86.871956,38.33119,-456.63715,-53.897285,-49.061394
670000001004,136.94218,40.288708,52.6746,1.0940522,-417.65613,155.1731,-43.5614
670000001005,322.72012,79.486824,82.48005,84.26199,-97.201546,-19.391907,-171.87868
670000001006,289.34384,49.405487,17.999895,23.789885,-509.06027,-112.43519,48.88556
670000001007,288.03772,98.00964,54.72487,31.269312,124.37321,-65.55389,96.30617
